"MonthYear","EventRootCode","QuadClass","CountEvent","Intensity","SumNumArticles","RerataAvgTone","CountEventNegativeTone","CountEventPositiveTone","SumNumNegativeArticle","SumNumPositiveArticle"
"199901","01","1","773","16.053","3806","4.4155","0","773","0","3806"
"199902","01","1","805","14.644","4004","4.82669","0","805","0","4004"
"199903","01","1","875","13.077","4292","4.57126","0","875","0","4292"
"199904","01","1","919","13.712","3948","4.51826","0","919","0","3948"
"199905","01","1","900","14.308","4580","5.24573","0","900","0","4580"
"199906","01","1","1023","16.639","5348","4.99677","0","1023","0","5348"
"199907","01","1","918","14.49","4449","4.73635","0","918","0","4449"
"199908","01","1","1083","14.344","5342","4.65191","0","1083","0","5342"
"199909","01","1","2472","12.619","13246","5.10523","0","2472","0","13246"
"199910","01","1","1181","13.257","6649","5.38415","0","1181","0","6649"
"199911","01","1","966","12.204","4921","4.78329","0","966","0","4921"
"199912","01","1","883","13.681","4453","4.62705","0","883","0","4453"
"200001","01","1","1011","12.308","4993","4.1344","0","1011","0","4993"
"200002","01","1","1000","15.225","4566","4.46564","0","1000","0","4566"
"200003","01","1","738","16.043","3642","4.46396","0","738","0","3642"
"200004","01","1","654","13.855","4235","4.46969","0","654","0","4235"
"200005","01","1","804","15.889","4280","4.20108","0","804","0","4280"
"200006","01","1","892","14.31","4867","4.12156","0","892","0","4867"
"200007","01","1","925","16.394","4062","4.00287","0","925","0","4062"
"200008","01","1","1040","16.229","5320","4.6155","0","1040","0","5320"
"200009","01","1","1237","14.701","5692","3.98398","0","1237","0","5692"
"200010","01","1","835","13.485","3481","4.45031","0","835","0","3481"
"200011","01","1","853","14.814","3565","4.49649","0","853","0","3565"
"200012","01","1","933","15.016","4074","4.13228","0","933","0","4074"
"200101","01","1","966","15.859","4098","4.37031","0","966","0","4098"
"200102","01","1","1093","15.046","5678","4.13934","0","1093","0","5678"
"200103","01","1","1028","15.866","5100","3.89847","0","1028","0","5100"
"200104","01","1","633","14.69","2730","4.32935","0","633","0","2730"
"200105","01","1","924","14.455","4929","4.35477","0","924","0","4929"
"200106","01","1","845","14.808","3913","4.56135","0","845","0","3913"
"200107","01","1","1065","15.988","5652","5.10241","0","1065","0","5652"
"200108","01","1","868","13.573","3694","4.78443","0","868","0","3694"
"200109","01","1","725","13.955","3073","4.48004","0","725","0","3073"
"200110","01","1","829","16.354","3350","4.55936","0","829","0","3350"
"200111","01","1","754","15.328","3037","4.73685","0","754","0","3037"
"200112","01","1","622","17.457","2684","4.34739","0","622","0","2684"
"200201","01","1","845","16.278","3286","4.39708","0","845","0","3286"
"200202","01","1","664","14.567","2708","4.56422","0","664","0","2708"
"200203","01","1","492","15.022","1806","4.33331","0","492","0","1806"
"200204","01","1","626","17.089","2350","4.51718","0","626","0","2350"
"200205","01","1","485","13.143","2064","4.64926","0","485","0","2064"
"200206","01","1","428","14.488","1671","4.24341","0","428","0","1671"
"200207","01","1","916","14.109","4082","4.75002","0","916","0","4082"
"200208","01","1","866","12.997","3855","4.67285","0","866","0","3855"
"200209","01","1","643","14.184","2651","4.14156","0","643","0","2651"
"200210","01","1","1255","16.973","5108","4.00824","0","1255","0","5108"
"200211","01","1","1383","18.952","5552","3.92182","0","1383","0","5552"
"200212","01","1","859","14.257","3851","4.30889","0","859","0","3851"
"200301","01","1","859","13.999","3706","4.21089","0","859","0","3706"
"200302","01","1","682","13.808","3231","4.40551","0","682","0","3231"
"200303","01","1","632","14.515","3912","4.79478","0","632","0","3912"
"200304","01","1","799","12.757","5198","4.47879","0","799","0","5198"
"200305","01","1","1054","14.344","5244","4.54074","0","1054","0","5244"
"200306","01","1","923","14.176","4251","3.94673","0","923","0","4251"
"200307","01","1","1123","16.249","4699","4.02637","0","1123","0","4699"
"200308","01","1","1224","14.968","5811","4.00061","0","1224","0","5811"
"200309","01","1","1227","15.257","5163","4.18614","0","1227","0","5163"
"200310","01","1","1045","12.636","4523","4.46843","0","1045","0","4523"
"200311","01","1","732","15.449","3259","4.08085","0","732","0","3259"
"200312","01","1","744","13.124","3239","4.35542","0","744","0","3239"
"200401","01","1","698","14.8","2989","4.05709","0","698","0","2989"
"200402","01","1","569","14.157","2621","4.71805","0","569","0","2621"
"200403","01","1","625","15.691","2763","4.85468","0","625","0","2763"
"200404","01","1","938","15.675","4302","4.86006","0","938","0","4302"
"200405","01","1","827","14.728","3660","4.65292","0","827","0","3660"
"200406","01","1","703","13.701","3082","4.88605","0","703","0","3082"
"200407","01","1","464","13.242","1809","4.6697","0","464","0","1809"
"200408","01","1","410","14.57","1810","4.36041","0","410","0","1810"
"200409","01","1","592","15.566","2583","4.55696","0","592","0","2583"
"200410","01","1","631","16.701","2618","4.63418","0","631","0","2618"
"200411","01","1","480","15.665","1957","5.15493","0","480","0","1957"
"200412","01","1","829","17.604","3550","4.24915","0","829","0","3550"
"200501","01","1","1253","16.684","5767","5.46501","0","1253","0","5767"
"200502","01","1","561","16.355","2357","4.78134","0","561","0","2357"
"200503","01","1","624","15.678","2537","4.37864","1","623","2","2535"
"200504","01","1","593","13.104","2376","5.37717","4","589","88","2288"
"200505","01","1","450","13.858","1808","4.74811","3","447","80","1728"
"200506","01","1","482","15.598","1910","4.2463","0","482","0","1910"
"200507","01","1","400","14.498","1638","5.06602","1","399","6","1632"
"200508","01","1","701","15.968","2642","4.84882","0","701","0","2642"
"200509","01","1","460","15.667","1897","3.70395","0","460","0","1897"
"200510","01","1","753","18.241","3221","4.15958","0","753","0","3221"
