"MonthYear","EventRootCode","QuadClass","CountEvent","Intensity","SumNumArticles","RerataAvgTone"
"199901","01","1","773","16.053","3806","4.4155"
"199902","01","1","805","14.644","4004","4.82669"
"199903","01","1","875","13.077","4292","4.57126"
"199904","01","1","919","13.712","3948","4.51826"
"199905","01","1","900","14.308","4580","5.24573"
"199906","01","1","1023","16.639","5348","4.99677"
"199907","01","1","918","14.49","4449","4.73635"
"199908","01","1","1083","14.344","5342","4.65191"
"199909","01","1","2472","12.619","13246","5.10523"
"199910","01","1","1181","13.257","6649","5.38415"
"199911","01","1","966","12.204","4921","4.78329"
"199912","01","1","883","13.681","4453","4.62705"
"200001","01","1","1011","12.308","4993","4.1344"
"200002","01","1","1000","15.225","4566","4.46564"
"200003","01","1","738","16.043","3642","4.46396"
"200004","01","1","654","13.855","4235","4.46969"
"200005","01","1","804","15.889","4280","4.20108"
"200006","01","1","892","14.31","4867","4.12156"
"200007","01","1","925","16.394","4062","4.00287"
"200008","01","1","1040","16.229","5320","4.6155"
"200009","01","1","1237","14.701","5692","3.98398"
"200010","01","1","835","13.485","3481","4.45031"
"200011","01","1","853","14.814","3565","4.49649"
"200012","01","1","933","15.016","4074","4.13228"
"200101","01","1","966","15.859","4098","4.37031"
"200102","01","1","1093","15.046","5678","4.13934"
"200103","01","1","1028","15.866","5100","3.89847"
"200104","01","1","633","14.69","2730","4.32935"
"200105","01","1","924","14.455","4929","4.35477"
"200106","01","1","845","14.808","3913","4.56135"
"200107","01","1","1065","15.988","5652","5.10241"
"200108","01","1","868","13.573","3694","4.78443"
"200109","01","1","725","13.955","3073","4.48004"
"200110","01","1","829","16.354","3350","4.55936"
"200111","01","1","754","15.328","3037","4.73685"
"200112","01","1","622","17.457","2684","4.34739"
"200201","01","1","845","16.278","3286","4.39708"
"200202","01","1","664","14.567","2708","4.56422"
"200203","01","1","492","15.022","1806","4.33331"
"200204","01","1","626","17.089","2350","4.51718"
"200205","01","1","485","13.143","2064","4.64926"
"200206","01","1","428","14.488","1671","4.24341"
"200207","01","1","916","14.109","4082","4.75002"
"200208","01","1","866","12.997","3855","4.67285"
"200209","01","1","643","14.184","2651","4.14156"
"200210","01","1","1255","16.973","5108","4.00824"
"200211","01","1","1383","18.952","5552","3.92182"
"200212","01","1","859","14.257","3851","4.30889"
"200301","01","1","859","13.999","3706","4.21089"
"200302","01","1","682","13.808","3231","4.40551"
"200303","01","1","632","14.515","3912","4.79478"
"200304","01","1","799","12.757","5198","4.47879"
"200305","01","1","1054","14.344","5244","4.54074"
"200306","01","1","923","14.176","4251","3.94673"
"200307","01","1","1123","16.249","4699","4.02637"
"200308","01","1","1224","14.968","5811","4.00061"
"200309","01","1","1227","15.257","5163","4.18614"
"200310","01","1","1045","12.636","4523","4.46843"
"200311","01","1","732","15.449","3259","4.08085"
"200312","01","1","744","13.124","3239","4.35542"
"200401","01","1","698","14.8","2989","4.05709"
"200402","01","1","569","14.157","2621","4.71805"
"200403","01","1","625","15.691","2763","4.85468"
"200404","01","1","938","15.675","4302","4.86006"
"200405","01","1","827","14.728","3660","4.65292"
"200406","01","1","703","13.701","3082","4.88605"
"200407","01","1","464","13.242","1809","4.6697"
"200408","01","1","410","14.57","1810","4.36041"
"200409","01","1","592","15.566","2583","4.55696"
"200410","01","1","631","16.701","2618","4.63418"
"200411","01","1","480","15.665","1957","5.15493"
"200412","01","1","829","17.604","3550","4.24915"
"200501","01","1","1253","16.684","5767","5.46501"
"200502","01","1","561","16.355","2357","4.78134"
"200503","01","1","624","15.678","2537","4.37864"
"200504","01","1","593","13.104","2376","5.37717"
"200505","01","1","450","13.858","1808","4.74811"
"200506","01","1","482","15.598","1910","4.2463"
"200507","01","1","400","14.498","1638","5.06602"
"200508","01","1","701","15.968","2642","4.84882"
"200509","01","1","460","15.667","1897","3.70395"
"200510","01","1","753","18.241","3221","4.15958"
"200511","01","1","490","17.186","2023","4.33018"
"200512","01","1","535","18.752","2257","4.86383"
"200601","01","1","508","17.041","565","4.28332"
"200602","01","1","479","14.289","679","4.41902"
"200603","01","1","675","14.312","1411","4.85109"
"200604","01","1","616","16.51","1263","4.62225"
"200605","01","1","1197","17.538","4621","4.33961"
"200606","01","1","960","15.569","2660","4.68753"
"200607","01","1","671","17.492","1865","3.99902"
"200608","01","1","757","16.762","2314","4.82259"
"200609","01","1","924","18.304","2851","4.56652"
"200610","01","1","481","14.056","1022","4.76615"
"200611","01","1","653","12.526","1962","4.92713"
"200612","01","1","781","20.264","2641","4.76084"
"200701","01","1","1463","22.156","4361","3.89854"
"200702","01","1","1075","18.388","3695","4.41327"
"200703","01","1","1603","20.691","5342","4.31218"
"200704","01","1","1478","16.532","6009","4.6916"
"200705","01","1","1337","15.952","4665","4.67797"
"200706","01","1","1462","15.556","5090","4.63239"
"200707","01","1","1112","14.606","3828","4.98348"
"200708","01","1","859","15.741","3307","4.87262"
"200709","01","1","1278","17.106","5565","4.58184"
"200710","01","1","1200","15.12","5428","5.00722"
"200711","01","1","1293","17.639","5243","4.49489"
"200712","01","1","1263","16.878","5270","4.75992"
"200801","01","1","1780","18.603","9544","5.02904"
"200802","01","1","1425","17.774","6526","4.34182"
"200803","01","1","942","17.499","3507","4.95875"
"200804","01","1","1058","15.022","4362","5.01046"
