"MonthYear","EventRootCode","QuadClass","CountEventNegativeTone","CountEventPositiveTone","SumNumNegativeArticle","SumNumPositiveArticle"
"199901","01","1","0","773","0","3806"
"199902","01","1","0","805","0","4004"
"199903","01","1","0","875","0","4292"
"199904","01","1","0","919","0","3948"
"199905","01","1","0","900","0","4580"
"199906","01","1","0","1023","0","5348"
"199907","01","1","0","918","0","4449"
"199908","01","1","0","1083","0","5342"
"199909","01","1","0","2472","0","13246"
"199910","01","1","0","1181","0","6649"
"199911","01","1","0","966","0","4921"
"199912","01","1","0","883","0","4453"
"200001","01","1","0","1011","0","4993"
"200002","01","1","0","1000","0","4566"
"200003","01","1","0","738","0","3642"
"200004","01","1","0","654","0","4235"
"200005","01","1","0","804","0","4280"
"200006","01","1","0","892","0","4867"
"200007","01","1","0","925","0","4062"
"200008","01","1","0","1040","0","5320"
"200009","01","1","0","1237","0","5692"
"200010","01","1","0","835","0","3481"
"200011","01","1","0","853","0","3565"
"200012","01","1","0","933","0","4074"
"200101","01","1","0","966","0","4098"
"200102","01","1","0","1093","0","5678"
"200103","01","1","0","1028","0","5100"
"200104","01","1","0","633","0","2730"
"200105","01","1","0","924","0","4929"
"200106","01","1","0","845","0","3913"
"200107","01","1","0","1065","0","5652"
"200108","01","1","0","868","0","3694"
"200109","01","1","0","725","0","3073"
"200110","01","1","0","829","0","3350"
"200111","01","1","0","754","0","3037"
"200112","01","1","0","622","0","2684"
"200201","01","1","0","845","0","3286"
"200202","01","1","0","664","0","2708"
"200203","01","1","0","492","0","1806"
"200204","01","1","0","626","0","2350"
"200205","01","1","0","485","0","2064"
"200206","01","1","0","428","0","1671"
"200207","01","1","0","916","0","4082"
"200208","01","1","0","866","0","3855"
"200209","01","1","0","643","0","2651"
"200210","01","1","0","1255","0","5108"
"200211","01","1","0","1383","0","5552"
"200212","01","1","0","859","0","3851"
"200301","01","1","0","859","0","3706"
"200302","01","1","0","682","0","3231"
"200303","01","1","0","632","0","3912"
"200304","01","1","0","799","0","5198"
"200305","01","1","0","1054","0","5244"
"200306","01","1","0","923","0","4251"
"200307","01","1","0","1123","0","4699"
"200308","01","1","0","1224","0","5811"
"200309","01","1","0","1227","0","5163"
"200310","01","1","0","1045","0","4523"
"200311","01","1","0","732","0","3259"
"200312","01","1","0","744","0","3239"
"200401","01","1","0","698","0","2989"
"200402","01","1","0","569","0","2621"
"200403","01","1","0","625","0","2763"
"200404","01","1","0","938","0","4302"
"200405","01","1","0","827","0","3660"
"200406","01","1","0","703","0","3082"
"200407","01","1","0","464","0","1809"
"200408","01","1","0","410","0","1810"
"200409","01","1","0","592","0","2583"
"200410","01","1","0","631","0","2618"
"200411","01","1","0","480","0","1957"
"200412","01","1","0","829","0","3550"
"200501","01","1","0","1253","0","5767"
"200502","01","1","0","561","0","2357"
"200503","01","1","1","623","2","2535"
"200504","01","1","4","589","88","2288"
"200505","01","1","3","447","80","1728"
"200506","01","1","0","482","0","1910"
"200507","01","1","1","399","6","1632"
"200508","01","1","0","701","0","2642"
"200509","01","1","0","460","0","1897"
"200510","01","1","0","753","0","3221"
"200511","01","1","0","490","0","2023"
"200512","01","1","0","535","0","2257"
"200601","01","1","1","507","2","563"
"200602","01","1","0","479","0","679"
"200603","01","1","0","675","0","1411"
"200604","01","1","2","614","16","1247"
"200605","01","1","2","1195","13","4608"
"200606","01","1","2","958","15","2645"
"200607","01","1","0","671","0","1865"
"200608","01","1","0","757","0","2314"
"200609","01","1","0","924","0","2851"
"200610","01","1","0","481","0","1022"
"200611","01","1","0","653","0","1962"
"200612","01","1","0","781","0","2641"
"200701","01","1","0","1463","0","4361"
"200702","01","1","0","1075","0","3695"
"200703","01","1","0","1603","0","5342"
"200704","01","1","0","1478","0","6009"
"200705","01","1","0","1337","0","4665"
"200706","01","1","0","1462","0","5090"
"200707","01","1","0","1112","0","3828"
"200708","01","1","0","859","0","3307"
"200709","01","1","0","1278","0","5565"
"200710","01","1","1","1199","10","5418"
"200711","01","1","0","1293","0","5243"
"200712","01","1","0","1263","0","5270"
"200801","01","1","0","1780","0","9544"
"200802","01","1","0","1425","0","6526"
"200803","01","1","0","942","0","3507"
"200804","01","1","0","1058","0","4362"
"200805","01","1","0","887","0","3645"
"200806","01","1","0","1187","0","5641"
"200807","01","1","0","1176","0","5465"
"200808","01","1","2","902","6","3751"
