"MonthYear","nilai_ekspor","persentase_perubahan_nilai_ekspor","nilai_impor","persentase_perubahan_nilai_impor","AvgTone","NumArticle","NumNegativeArticle","NumPositiveArticle","CountEventNegativeTone","CountEventPositiveTone","CountEventVerbalCooperation","CountEventMaterialCooperation","CountEventVerbalConflict","CountEventMaterialConflict","CountEvent01","CountEvent02","CountEvent03","CountEvent04","CountEvent05","CountEvent06","CountEvent07","CountEvent08","CountEvent09","CountEvent10","CountEvent11","CountEvent12","CountEvent13","CountEvent14","CountEvent15","CountEvent16","CountEvent17","CountEvent18","CountEvent19","CountEvent20"
"199901","3017850000","0","1772190000","0","4.48447","27813","0","27813","0","4815","2530","477","726","1082","773","326","312","883","236","59","108","235","75","125","296","158","66","81","47","47","318","180","483","7"
"199902","3194990000","5.86974","1808710000","2.06073","4.65879","29952","0","29952","0","5497","3420","487","765","825","805","487","494","1413","221","68","112","197","110","94","283","215","109","64","50","53","211","74","437","0"
"199903","3952970000","23.724","1976420000","9.27235","4.46642","36529","0","36529","0","6691","3913","575","858","1345","875","463","475","1879","221","95","151","252","77","129","307","201","65","156","74","54","284","136","794","3"
"199904","3886120000","-1.69113","2121890000","7.36028","4.59195","35224","0","35224","0","6702","3810","355","1054","1483","919","518","476","1553","344","43","116","128","68","126","421","221","164","122","48","29","261","189","922","34"
"199905","4041270000","3.99241","1959120000","-7.67099","5.27258","34705","0","34705","0","6290","3585","637","940","1128","900","396","404","1359","526","84","157","257","139","122","366","196","103","153","43","62","230","200","582","11"
"199906","3595040000","-11.0418","1896300000","-3.20654","5.24643","35848","0","35848","0","6148","3700","645","941","862","1023","400","493","1353","431","77","99","262","207","84","431","228","120","78","27","40","245","130","419","1"
"199907","4233840000","17.7689","2007010000","5.83821","4.59823","35106","0","35106","0","6335","3797","518","976","1044","918","433","525","1580","341","72","122","201","123","130","441","222","93","90","39","47","170","163","614","11"
"199908","4623820000","9.21102","2043870000","1.83656","4.6379","43307","0","43307","0","7550","4079","575","1220","1676","1083","474","503","1581","438","58","108","287","122","157","531","274","146","112","54","90","228","221","1073","10"
"199909","4537120000","-1.87507","2154800000","5.42745","5.02486","115775","0","115775","0","19589","11228","2128","3193","3040","2472","1303","1686","4699","1068","234","596","1111","187","373","1182","737","436","465","190","315","610","277","1597","51"
"199910","4638190000","2.22762","2048030000","-4.95498","4.97535","51650","0","51650","0","8908","5120","920","1435","1433","1181","611","609","1947","772","151","187","420","162","170","538","333","161","233","80","92","275","180","800","6"
