monthyear,theme,count
201809,NATURAL_DISASTER_WINTRY,217
201809,NATURAL_DISASTER_WINTER_STORMS,48
201809,NATURAL_DISASTER_WINTER_STORM,176
201809,NATURAL_DISASTER_WIND_STORM,44
201809,NATURAL_DISASTER_WINDSTORM,91
201809,NATURAL_DISASTER_WILDFIRES,1307
201809,NATURAL_DISASTER_WILDFIRE,1038
201809,NATURAL_DISASTER_WHITEOUT,19
201809,NATURAL_DISASTER_WEATHER_EMERGENCY,12
201809,NATURAL_DISASTER_WATER_LEVEL,769
201809,NATURAL_DISASTER_VOLCANOES,13343
201809,NATURAL_DISASTER_VOLCANO,41592
201809,NATURAL_DISASTER_VOLCANIC,34014
201809,NATURAL_DISASTER_VIOLENT_STORMS,52
201809,NATURAL_DISASTER_VIOLENT_STORM,54
201809,NATURAL_DISASTER_TYPHOONS,627
201809,NATURAL_DISASTER_TYPHOON,2069
201809,NATURAL_DISASTER_TWISTERS,19
201809,NATURAL_DISASTER_TWISTER,2002
201809,NATURAL_DISASTER_TSUNAMIS,1743
201809,NATURAL_DISASTER_TSUNAMI,18888
201809,NATURAL_DISASTER_TROPICAL_STORMS,191
201809,NATURAL_DISASTER_TROPICAL_STORM,1253
201809,NATURAL_DISASTER_TROPICAL_CYCLONES,471
201809,NATURAL_DISASTER_TROPICAL_CYCLONE,1852
201809,NATURAL_DISASTER_TREMORS,8772
201809,NATURAL_DISASTER_TREMOR,1889
201809,NATURAL_DISASTER_TORRENTIAL_RAINS,548
201809,NATURAL_DISASTER_TORRENTIAL_RAINFALL,211
201809,NATURAL_DISASTER_TORRENTIAL_RAIN,1147
201809,NATURAL_DISASTER_TORNADOES,804
201809,NATURAL_DISASTER_TORNADO,847
201809,NATURAL_DISASTER_TIDAL_WAVES,1063
201809,NATURAL_DISASTER_TIDAL_WAVE,545
201809,NATURAL_DISASTER_TEMBLORS,37
201809,NATURAL_DISASTER_TEMBLOR,1015
201809,NATURAL_DISASTER_SUSTAINED_WINDS,97
201809,NATURAL_DISASTER_STRONG_WINDS,1391
201809,NATURAL_DISASTER_STORM_SYSTEM,64
201809,NATURAL_DISASTER_STORM_SURGES,360
201809,NATURAL_DISASTER_STORM_SURGE,153
201809,NATURAL_DISASTER_STORM_DAMAGE,178
201809,NATURAL_DISASTER_SNOW_STORMS,15
201809,NATURAL_DISASTER_SNOW_STORM,57
201809,NATURAL_DISASTER_SNOWSTORMS,68
201809,NATURAL_DISASTER_SNOWSTORM,163
201809,NATURAL_DISASTER_SMOG,1746
201809,NATURAL_DISASTER_SEVERE_WINDS,18
201809,NATURAL_DISASTER_SEVERE_WEATHER,713
201809,NATURAL_DISASTER_SEVERE_COLD,91
201809,NATURAL_DISASTER_RICHTER_SCALE,4811
201809,NATURAL_DISASTER_PYROCLASTIC,1359
201809,NATURAL_DISASTER_POWERFUL_STORMS,127
201809,NATURAL_DISASTER_POWERFUL_STORM,115
201809,NATURAL_DISASTER_NATURAL_DISASTERS,6622
201809,NATURAL_DISASTER_NATURAL_DISASTER,2512
201809,NATURAL_DISASTER_MUD_SLIDE,20
201809,NATURAL_DISASTER_MUD_FLOWS,429
201809,NATURAL_DISASTER_MUD_FLOW,25
201809,NATURAL_DISASTER_MUDSLIDES,292
201809,NATURAL_DISASTER_MUDSLIDE,5494
201809,NATURAL_DISASTER_MUDFLOWS,1047
201809,NATURAL_DISASTER_MUDFLOW,489
201809,NATURAL_DISASTER_MONSOON_RAINS,514
201809,NATURAL_DISASTER_MONSOON_RAIN,156
201809,NATURAL_DISASTER_MONSOON,3079
201809,NATURAL_DISASTER_MAGMA,6371
201809,NATURAL_DISASTER_LOCUSTS,91
201809,NATURAL_DISASTER_LOCUST,85
201809,NATURAL_DISASTER_LAVA,10947
201809,NATURAL_DISASTER_LANDSLIDES,18140
201809,NATURAL_DISASTER_LANDSLIDE,7004
201809,NATURAL_DISASTER_INTENSE_RAINFALL,300
201809,NATURAL_DISASTER_ICY,1061
201809,NATURAL_DISASTER_ICE,23735
201809,NATURAL_DISASTER_HYPOTHERMIA,537
201809,NATURAL_DISASTER_HURRICANES,2519
201809,NATURAL_DISASTER_HURRICANE,8606
201809,NATURAL_DISASTER_HIGH_WINDS,524
201809,NATURAL_DISASTER_HIGH_WIND,63
201809,NATURAL_DISASTER_HIGH_WATERS,12
201809,NATURAL_DISASTER_HIGH_WATER,903
201809,NATURAL_DISASTER_HEAVY_WINDS,86
201809,NATURAL_DISASTER_HEAVY_WIND,131
201809,NATURAL_DISASTER_HEAVY_SNOWFALL,84
201809,NATURAL_DISASTER_HEAVY_SNOW,129
201809,NATURAL_DISASTER_HEAVY_RAINS,2307
201809,NATURAL_DISASTER_HEAVY_RAIN,3122
201809,NATURAL_DISASTER_HEAT_WAVES,498
201809,NATURAL_DISASTER_HEAT_WAVE,834
201809,NATURAL_DISASTER_HEATWAVES,249
201809,NATURAL_DISASTER_HEATWAVE,651
201809,NATURAL_DISASTER_GRASS_FIRES,21
201809,NATURAL_DISASTER_GRASS_FIRE,110
201809,NATURAL_DISASTER_FROSTBITE,57
201809,NATURAL_DISASTER_FRIGID,207
201809,NATURAL_DISASTER_FREEZING_TEMPERATURES,121
201809,NATURAL_DISASTER_FOREST_FIRES,2134
201809,NATURAL_DISASTER_FOREST_FIRE,648
201809,NATURAL_DISASTER_FOREST_BURNED,100
201809,NATURAL_DISASTER_FLOOD_WATERS,264
201809,NATURAL_DISASTER_FLOOD_WATER,75
201809,NATURAL_DISASTER_FLOOD_WARNING,52
201809,NATURAL_DISASTER_FLOODWATERS,347
201809,NATURAL_DISASTER_FLOODWATER,131
201809,NATURAL_DISASTER_FLOODS,10165
201809,NATURAL_DISASTER_FLOODING,47959
201809,NATURAL_DISASTER_FLOODED_ROADS,180
201809,NATURAL_DISASTER_FLOODED_ROAD,55
201809,NATURAL_DISASTER_FLOODED_AREAS,472
201809,NATURAL_DISASTER_FLOODED,22725
201809,NATURAL_DISASTER_FLOOD,13444
201809,NATURAL_DISASTER_FLASH_FLOODS,473
201809,NATURAL_DISASTER_FLASH_FLOOD,421
201809,NATURAL_DISASTER_FAMINE,2944
201809,NATURAL_DISASTER_EXTREME_WEATHER,4505
201809,NATURAL_DISASTER_EXTREME_COLD,119
201809,NATURAL_DISASTER_ERUPTIONS,11916
201809,NATURAL_DISASTER_ERUPTION,34259
201809,NATURAL_DISASTER_EROSION,4155
201809,NATURAL_DISASTER_EARTHQUAKES,15671
201809,NATURAL_DISASTER_EARTHQUAKE,42734
201809,NATURAL_DISASTER_DUST_STORM,48
201809,NATURAL_DISASTER_DROWNS,97
201809,NATURAL_DISASTER_DROWNING,2015
201809,NATURAL_DISASTER_DROWNED,7407
201809,NATURAL_DISASTER_DROWN,579
201809,NATURAL_DISASTER_DROUGHTS,1499
201809,NATURAL_DISASTER_DROUGHT,10355
201809,NATURAL_DISASTER_DESTRUCTIVE_WINDS,162
201809,NATURAL_DISASTER_DESERTIFICATION,455
201809,NATURAL_DISASTER_DEEP_FREEZE,267
201809,NATURAL_DISASTER_DAM_OVERFLOW,22
201809,NATURAL_DISASTER_DAM_FAILURE,11
201809,NATURAL_DISASTER_DAM_BROKE,21
201809,NATURAL_DISASTER_CYCLONES,1019
201809,NATURAL_DISASTER_CYCLONE,5693
201809,NATURAL_DISASTER_COMET_IMPACT,20
201809,NATURAL_DISASTER_COLD_SPELL,97
201809,NATURAL_DISASTER_COLD_SNAP,94
201809,NATURAL_DISASTER_CHILL,1356
201809,NATURAL_DISASTER_BUSH_FIRES,157
201809,NATURAL_DISASTER_BUSH_FIRE,4188
201809,NATURAL_DISASTER_BUSHFIRES,711
201809,NATURAL_DISASTER_BUSHFIRE,938
201809,NATURAL_DISASTER_BRUSH_FIRE,39
201809,NATURAL_DISASTER_BLIZZARDS,71
201809,NATURAL_DISASTER_BLIZZARD,1093
201809,NATURAL_DISASTER_BITTER_COLD,73
201809,NATURAL_DISASTER_AVALANCHES,3552
201809,NATURAL_DISASTER_AVALANCHE,2666
201809,NATURAL_DISASTER_ASTEROID_IMPACT,66
201809,NATURAL_DISASTER_AFTERSHOCKS,1101
201809,NATURAL_DISASTER_AFTERSHOCK,1714
