monthyear,theme,count
201707,NATURAL_DISASTER_WILDFIRES,108
201707,NATURAL_DISASTER_WILDFIRE,110
201707,NATURAL_DISASTER_WATER_LEVEL,33
201707,NATURAL_DISASTER_VOLCANOES,397
201707,NATURAL_DISASTER_VOLCANO,1917
201707,NATURAL_DISASTER_VOLCANIC,1432
201707,NATURAL_DISASTER_TYPHOONS,91
201707,NATURAL_DISASTER_TYPHOON,285
201707,NATURAL_DISASTER_TWISTER,66
201707,NATURAL_DISASTER_TSUNAMIS,55
201707,NATURAL_DISASTER_TSUNAMI,797
201707,NATURAL_DISASTER_TROPICAL_STORM,59
201707,NATURAL_DISASTER_TROPICAL_CYCLONES,205
201707,NATURAL_DISASTER_TROPICAL_CYCLONE,34
201707,NATURAL_DISASTER_TREMORS,105
201707,NATURAL_DISASTER_TREMOR,48
201707,NATURAL_DISASTER_TORRENTIAL_RAINS,29
201707,NATURAL_DISASTER_TORRENTIAL_RAIN,24
201707,NATURAL_DISASTER_TORNADOES,24
201707,NATURAL_DISASTER_TORNADO,39
201707,NATURAL_DISASTER_TIDAL_WAVES,92
201707,NATURAL_DISASTER_TIDAL_WAVE,38
201707,NATURAL_DISASTER_TEMBLOR,66
201707,NATURAL_DISASTER_STRONG_WINDS,43
201707,NATURAL_DISASTER_STORM_SURGES,162
201707,NATURAL_DISASTER_STORM_SURGE,41
201707,NATURAL_DISASTER_SMOG,98
201707,NATURAL_DISASTER_SEVERE_WEATHER,151
201707,NATURAL_DISASTER_RICHTER_SCALE,256
201707,NATURAL_DISASTER_NATURAL_DISASTERS,180
201707,NATURAL_DISASTER_NATURAL_DISASTER,106
201707,NATURAL_DISASTER_MUDSLIDES,12
201707,NATURAL_DISASTER_MUDSLIDE,100
201707,NATURAL_DISASTER_MONSOON_RAINS,144
201707,NATURAL_DISASTER_MONSOON,323
201707,NATURAL_DISASTER_MAGMA,100
201707,NATURAL_DISASTER_LAVA,1123
201707,NATURAL_DISASTER_LANDSLIDES,464
201707,NATURAL_DISASTER_LANDSLIDE,139
201707,NATURAL_DISASTER_INTENSE_RAINFALL,14
201707,NATURAL_DISASTER_ICY,74
201707,NATURAL_DISASTER_ICE,1703
201707,NATURAL_DISASTER_HYPOTHERMIA,28
201707,NATURAL_DISASTER_HURRICANES,69
201707,NATURAL_DISASTER_HURRICANE,291
201707,NATURAL_DISASTER_HIGH_WATER,58
201707,NATURAL_DISASTER_HEAVY_RAINS,154
201707,NATURAL_DISASTER_HEAVY_RAIN,122
201707,NATURAL_DISASTER_HEAT_WAVES,176
201707,NATURAL_DISASTER_HEAT_WAVE,105
201707,NATURAL_DISASTER_HEATWAVES,35
201707,NATURAL_DISASTER_HEATWAVE,14
201707,NATURAL_DISASTER_FREEZING_TEMPERATURES,18
201707,NATURAL_DISASTER_FOREST_FIRES,291
201707,NATURAL_DISASTER_FOREST_FIRE,89
201707,NATURAL_DISASTER_FOREST_BURNED,11
201707,NATURAL_DISASTER_FLOOD_WATERS,14
201707,NATURAL_DISASTER_FLOODWATERS,11
201707,NATURAL_DISASTER_FLOODS,941
201707,NATURAL_DISASTER_FLOODING,2081
201707,NATURAL_DISASTER_FLOODED,1346
201707,NATURAL_DISASTER_FLOOD,723
201707,NATURAL_DISASTER_FLASH_FLOODS,14
201707,NATURAL_DISASTER_FLASH_FLOOD,13
201707,NATURAL_DISASTER_FAMINE,180
201707,NATURAL_DISASTER_EXTREME_WEATHER,317
201707,NATURAL_DISASTER_ERUPTIONS,586
201707,NATURAL_DISASTER_ERUPTION,1859
201707,NATURAL_DISASTER_EROSION,341
201707,NATURAL_DISASTER_EARTHQUAKES,428
201707,NATURAL_DISASTER_EARTHQUAKE,1715
201707,NATURAL_DISASTER_DUST_STORM,19
201707,NATURAL_DISASTER_DROWNING,374
201707,NATURAL_DISASTER_DROWNED,564
201707,NATURAL_DISASTER_DROWN,34
201707,NATURAL_DISASTER_DROUGHTS,229
201707,NATURAL_DISASTER_DROUGHT,893
201707,NATURAL_DISASTER_DESTRUCTIVE_WINDS,153
201707,NATURAL_DISASTER_DESERTIFICATION,173
201707,NATURAL_DISASTER_DEEP_FREEZE,11
201707,NATURAL_DISASTER_CYCLONES,236
201707,NATURAL_DISASTER_CYCLONE,203
201707,NATURAL_DISASTER_COLD_SNAP,19
201707,NATURAL_DISASTER_CHILL,119
201707,NATURAL_DISASTER_BUSH_FIRE,488
201707,NATURAL_DISASTER_BUSHFIRES,17
201707,NATURAL_DISASTER_BUSHFIRE,12
201707,NATURAL_DISASTER_BLIZZARD,17
201707,NATURAL_DISASTER_BITTER_COLD,20
201707,NATURAL_DISASTER_AVALANCHES,61
201707,NATURAL_DISASTER_AVALANCHE,43
201707,NATURAL_DISASTER_AFTERSHOCKS,42
201707,NATURAL_DISASTER_AFTERSHOCK,92
