monthyear,theme,count
201809,NATURAL_DISASTER_WINTRY,63
201809,NATURAL_DISASTER_WINTER_STORM,128
201809,NATURAL_DISASTER_WIND_STORMS,12
201809,NATURAL_DISASTER_WIND_STORM,11
201809,NATURAL_DISASTER_WINDSTORM,41
201809,NATURAL_DISASTER_WILDFIRES,220
201809,NATURAL_DISASTER_WILDFIRE,285
201809,NATURAL_DISASTER_WEATHER_EMERGENCY,14
201809,NATURAL_DISASTER_WATER_LEVEL,301
201809,NATURAL_DISASTER_VOLCANOES,4376
201809,NATURAL_DISASTER_VOLCANO,9704
201809,NATURAL_DISASTER_VOLCANIC,8562
201809,NATURAL_DISASTER_VIOLENT_STORMS,15
201809,NATURAL_DISASTER_TYPHOONS,183
201809,NATURAL_DISASTER_TYPHOON,469
201809,NATURAL_DISASTER_TWISTERS,11
201809,NATURAL_DISASTER_TWISTER,904
201809,NATURAL_DISASTER_TSUNAMIS,560
201809,NATURAL_DISASTER_TSUNAMI,6807
201809,NATURAL_DISASTER_TROPICAL_STORMS,77
201809,NATURAL_DISASTER_TROPICAL_STORM,330
201809,NATURAL_DISASTER_TROPICAL_CYCLONES,78
201809,NATURAL_DISASTER_TROPICAL_CYCLONE,387
201809,NATURAL_DISASTER_TREMORS,936
201809,NATURAL_DISASTER_TREMOR,1000
201809,NATURAL_DISASTER_TORRENTIAL_RAINS,323
201809,NATURAL_DISASTER_TORRENTIAL_RAINFALL,117
201809,NATURAL_DISASTER_TORRENTIAL_RAIN,344
201809,NATURAL_DISASTER_TORNADOES,78
201809,NATURAL_DISASTER_TORNADO,216
201809,NATURAL_DISASTER_TIDAL_WAVES,341
201809,NATURAL_DISASTER_TIDAL_WAVE,187
201809,NATURAL_DISASTER_TEMBLORS,27
201809,NATURAL_DISASTER_TEMBLOR,523
201809,NATURAL_DISASTER_SUSTAINED_WINDS,30
201809,NATURAL_DISASTER_STRONG_WINDS,371
201809,NATURAL_DISASTER_STORM_SURGES,60
201809,NATURAL_DISASTER_STORM_SURGE,64
201809,NATURAL_DISASTER_STORM_DAMAGE,14
201809,NATURAL_DISASTER_SNOW_STORMS,22
201809,NATURAL_DISASTER_SNOW_STORM,14
201809,NATURAL_DISASTER_SNOWSTORMS,36
201809,NATURAL_DISASTER_SNOWSTORM,150
201809,NATURAL_DISASTER_SMOG,386
201809,NATURAL_DISASTER_SEVERE_WINDS,35
201809,NATURAL_DISASTER_SEVERE_WEATHER,170
201809,NATURAL_DISASTER_RICHTER_SCALE,1925
201809,NATURAL_DISASTER_PYROCLASTIC,328
201809,NATURAL_DISASTER_POWERFUL_STORMS,114
201809,NATURAL_DISASTER_POWERFUL_STORM,22
201809,NATURAL_DISASTER_NATURAL_DISASTERS,2126
201809,NATURAL_DISASTER_NATURAL_DISASTER,808
201809,NATURAL_DISASTER_MUDSLIDES,132
201809,NATURAL_DISASTER_MUDSLIDE,1888
201809,NATURAL_DISASTER_MUDFLOWS,87
201809,NATURAL_DISASTER_MUDFLOW,48
201809,NATURAL_DISASTER_MONSOON_RAINS,77
201809,NATURAL_DISASTER_MONSOON,847
201809,NATURAL_DISASTER_MAGMA,1173
201809,NATURAL_DISASTER_LOCUSTS,27
201809,NATURAL_DISASTER_LOCUST,30
201809,NATURAL_DISASTER_LAVA,3059
201809,NATURAL_DISASTER_LANDSLIDES,8527
201809,NATURAL_DISASTER_LANDSLIDE,2141
201809,NATURAL_DISASTER_INTENSE_RAINFALL,58
201809,NATURAL_DISASTER_ICY,349
201809,NATURAL_DISASTER_ICE,9370
201809,NATURAL_DISASTER_HYPOTHERMIA,378
201809,NATURAL_DISASTER_HURRICANES,510
201809,NATURAL_DISASTER_HURRICANE,2659
201809,NATURAL_DISASTER_HIGH_WINDS,61
201809,NATURAL_DISASTER_HIGH_WIND,25
201809,NATURAL_DISASTER_HIGH_WATER,467
201809,NATURAL_DISASTER_HEAVY_WINDS,42
201809,NATURAL_DISASTER_HEAVY_WIND,119
201809,NATURAL_DISASTER_HEAVY_SNOWFALL,414
201809,NATURAL_DISASTER_HEAVY_SNOW,91
201809,NATURAL_DISASTER_HEAVY_RAINS,612
201809,NATURAL_DISASTER_HEAVY_RAIN,689
201809,NATURAL_DISASTER_HEAT_WAVES,97
201809,NATURAL_DISASTER_HEAT_WAVE,317
201809,NATURAL_DISASTER_HEATWAVES,45
201809,NATURAL_DISASTER_HEATWAVE,71
201809,NATURAL_DISASTER_FROSTBITE,132
201809,NATURAL_DISASTER_FRIGID,165
201809,NATURAL_DISASTER_FREEZING_TEMPERATURES,81
201809,NATURAL_DISASTER_FOREST_FIRES,723
201809,NATURAL_DISASTER_FOREST_FIRE,163
201809,NATURAL_DISASTER_FOREST_BURNED,22
201809,NATURAL_DISASTER_FLOOD_WATERS,95
201809,NATURAL_DISASTER_FLOOD_WATER,32
201809,NATURAL_DISASTER_FLOOD_WARNING,46
201809,NATURAL_DISASTER_FLOODWATERS,157
201809,NATURAL_DISASTER_FLOODWATER,49
201809,NATURAL_DISASTER_FLOODS,2912
201809,NATURAL_DISASTER_FLOODING,15894
201809,NATURAL_DISASTER_FLOODED_AREAS,14
201809,NATURAL_DISASTER_FLOODED,7024
201809,NATURAL_DISASTER_FLOOD,4429
201809,NATURAL_DISASTER_FLASH_FLOODS,151
201809,NATURAL_DISASTER_FLASH_FLOOD,59
201809,NATURAL_DISASTER_FAMINE,879
201809,NATURAL_DISASTER_EXTREME_WEATHER,1283
201809,NATURAL_DISASTER_EXTREME_COLD,45
201809,NATURAL_DISASTER_ERUPTIONS,2449
201809,NATURAL_DISASTER_ERUPTION,9512
201809,NATURAL_DISASTER_EROSION,1346
201809,NATURAL_DISASTER_EARTHQUAKES,5152
201809,NATURAL_DISASTER_EARTHQUAKE,15423
201809,NATURAL_DISASTER_DUST_STORM,22
201809,NATURAL_DISASTER_DROWNS,20
201809,NATURAL_DISASTER_DROWNING,640
201809,NATURAL_DISASTER_DROWNED,2651
201809,NATURAL_DISASTER_DROWN,260
201809,NATURAL_DISASTER_DROUGHTS,296
201809,NATURAL_DISASTER_DROUGHT,3072
201809,NATURAL_DISASTER_DESTRUCTIVE_WINDS,13
201809,NATURAL_DISASTER_DESERTIFICATION,103
201809,NATURAL_DISASTER_DEEP_FREEZE,84
201809,NATURAL_DISASTER_CYCLONES,260
201809,NATURAL_DISASTER_CYCLONE,1532
201809,NATURAL_DISASTER_COLD_SPELL,36
201809,NATURAL_DISASTER_COLD_SNAP,87
201809,NATURAL_DISASTER_CHILL,553
201809,NATURAL_DISASTER_BUSH_FIRE,1413
201809,NATURAL_DISASTER_BUSHFIRES,21
201809,NATURAL_DISASTER_BUSHFIRE,68
201809,NATURAL_DISASTER_BRUSH_FIRE,30
201809,NATURAL_DISASTER_BLIZZARDS,31
201809,NATURAL_DISASTER_BLIZZARD,433
201809,NATURAL_DISASTER_BITTER_COLD,28
201809,NATURAL_DISASTER_AVALANCHES,1613
201809,NATURAL_DISASTER_AVALANCHE,1231
201809,NATURAL_DISASTER_AFTERSHOCKS,1607
201809,NATURAL_DISASTER_AFTERSHOCK,1074
