Identitas,KodeProv,Provinsi,KodeKab,KabKota,KodeKat,Kategori,Namakejadian,Tanggal,Bulan,Tahun,Meninggal,Lukaluka,Hilang,Terdampak,Mengungsi,RumahRusakBerat,RumahRusakSedang,RumahRusakRingan,Kesehatan,Peribadatan,Pendidikan
3524102201811052,35,JAWA TIMUR,3524,LAMONGAN,102,TANAH LONGSOR,Tanah Longsor,5,11,2018,0,0,0,0,0,0,0,0,0,0,0
3217102201811051,32,JAWA BARAT,3217,BANDUNG BARAT,102,TANAH LONGSOR,tanah longsor,5,11,2018,0,0,0,0,0,0,1,0,0,0,0
3217102201811052,32,JAWA BARAT,3217,BANDUNG BARAT,102,TANAH LONGSOR,Longsor,5,11,2018,0,0,0,0,0,0,1,0,0,0,0
3217102201811053,32,JAWA BARAT,3217,BANDUNG BARAT,102,TANAH LONGSOR,longsor,5,11,2018,0,0,0,0,0,0,0,1,0,0,0
3202102201811051,32,JAWA BARAT,3202,SUKABUMI,102,TANAH LONGSOR,Longsor,5,11,2018,0,0,0,0,0,0,0,0,0,0,1
3318106201811051,33,JAWA TENGAH,3318,PATI,106,KEKERINGAN,KEKERINGAN,5,11,2018,0,0,0,0,0,0,0,0,0,0,0
3202105201811021,32,JAWA BARAT,3202,SUKABUMI,105,PUTING BELIUNG,Puting Beliung,2,11,2018,0,0,0,0,2,1,9,10,0,0,0
3523106201811011,35,JAWA TIMUR,3523,TUBAN,106,KEKERINGAN,Tes KEKERINGAN KABUPATEN TUBAN,1,11,2018,0,0,0,0,0,0,0,0,0,0,0
3329106201810301,33,JAWA TENGAH,3329,BREBES,106,KEKERINGAN,Kekeringan,30,10,2018,0,0,0,0,0,0,0,0,0,0,0
3217102201810301,32,JAWA BARAT,3217,BANDUNG BARAT,102,TANAH LONGSOR,tanah longsor,30,10,2018,0,0,0,0,0,0,0,0,0,0,0
3217102201810302,32,JAWA BARAT,3217,BANDUNG BARAT,102,TANAH LONGSOR,TANAH LONGSOR,30,10,2018,0,0,0,0,0,1,0,0,0,0,0
3217102201810303,32,JAWA BARAT,3217,BANDUNG BARAT,102,TANAH LONGSOR,LONGSOR,30,10,2018,0,0,0,0,0,1,0,0,0,0,0
3301106201810301,33,JAWA TENGAH,3301,CILACAP,106,KEKERINGAN,DROPPING AIR BERSIH DI DSN.DUNGUNSARI DS.CISUMUR KEC.GANDRUNGMANGU,30,10,2018,0,0,0,0,0,0,0,0,0,0,0
3217102201810304,32,JAWA BARAT,3217,BANDUNG BARAT,102,TANAH LONGSOR,LONGSOR,30,10,2018,0,0,0,0,0,1,0,0,0,0,0
3524101201810291,35,JAWA TIMUR,3524,LAMONGAN,101,BANJIR,,29,10,2018,0,0,0,0,18,5,0,0,0,0,0
7205108201809281,72,SULAWESI TENGAH,7205,DONGGALA,108,GEMPA BUMI,Gempa bumi,28,9,2018,171,10,0,0,0,0,0,0,0,0,0
3207106201809141,32,JAWA BARAT,3207,CIAMIS,106,KEKERINGAN,PENDISTRIBUSIAN AIR BERSIH,14,9,2018,0,0,0,966,0,0,0,0,0,0,0
3319107201809131,33,JAWA TENGAH,3319,KUDUS,107,KEBAKARAN HUTAN DAN LAHAN,KEBAKARAN,13,9,2018,,,,,,,,,,,
3319107201809132,33,JAWA TENGAH,3319,KUDUS,107,KEBAKARAN HUTAN DAN LAHAN,KEBAKARAN,13,9,2018,0,0,0,0,0,0,0,0,0,0,0
3319107201809121,33,JAWA TENGAH,3319,KUDUS,107,KEBAKARAN HUTAN DAN LAHAN,KEBAKARAN,12,9,2018,0,0,0,0,0,0,0,0,0,0,0
3319107201809101,33,JAWA TENGAH,3319,KUDUS,107,KEBAKARAN HUTAN DAN LAHAN,KEBAKARAN,10,9,2018,,,,,,,,,,,
1610107201808311,16,SUMATERA SELATAN,1610,OGAN ILIR,107,KEBAKARAN HUTAN DAN LAHAN,karhutlah KTM sungai rambutan sp3, palem raya dan dusun 2 swadaya sungai rambutan,31,8,2018,0,0,0,0,0,0,0,0,0,0,0
6474107201808281,64,KALIMANTAN TIMUR,6474,BONTANG,107,KEBAKARAN HUTAN DAN LAHAN,Kebakaran Lahan,28,8,2018,0,0,0,0,0,0,0,0,0,0,0
3312107201808271,33,JAWA TENGAH,3312,WONOGIRI,107,KEBAKARAN HUTAN DAN LAHAN,Kebakaran Lahan,27,8,2018,0,0,0,0,0,0,0,0,0,0,0
3318106201808241,33,JAWA TENGAH,3318,PATI,106,KEKERINGAN,Kekeringan,24,8,2018,0,0,0,0,0,0,0,0,0,0,0
3301106201808241,33,JAWA TENGAH,3301,CILACAP,106,KEKERINGAN,Droping Air Bersih Di  Dusun Gendiwung Cagak Desa sidamukti, Kecamatan Patimuan.,24,8,2018,0,0,0,0,0,0,0,0,0,0,0
3205102201808231,32,JAWA BARAT,3205,GARUT,102,TANAH LONGSOR,longsor,23,8,2018,0,0,0,0,0,0,0,0,0,0,0
3376107201808231,33,JAWA TENGAH,3376,TEGAL,107,KEBAKARAN HUTAN DAN LAHAN,KEBAKARAN LAHAN,23,8,2018,0,0,0,0,0,0,0,0,0,0,0
1610107201808231,16,SUMATERA SELATAN,1610,OGAN ILIR,107,KEBAKARAN HUTAN DAN LAHAN,karhutlah di gerbang jalan tol pemulutan  muara baru,23,8,2018,0,0,0,0,0,0,0,0,0,0,0
1610107201808221,16,SUMATERA SELATAN,1610,OGAN ILIR,107,KEBAKARAN HUTAN DAN LAHAN,karhutlah ibul besar 1 dan lorok, sarang elang,22,8,2018,0,0,0,0,0,0,0,0,0,0,0
1610107201808211,16,SUMATERA SELATAN,1610,OGAN ILIR,107,KEBAKARAN HUTAN DAN LAHAN,Karhutlah pemulutan,21,8,2018,0,0,0,0,0,0,0,0,0,0,0
1612107201808211,16,SUMATERA SELATAN,1612,PENUKAL ABAB LEMATAN,107,KEBAKARAN HUTAN DAN LAHAN,Lahan Terbakar,21,8,2018,0,0,0,0,0,0,0,0,0,0,0
1612107201808201,16,SUMATERA SELATAN,1612,PENUKAL ABAB LEMATAN,107,KEBAKARAN HUTAN DAN LAHAN,Lahan Terbakar,20,8,2018,0,0,0,0,0,0,0,0,0,0,0
1612107201808191,16,SUMATERA SELATAN,1612,PENUKAL ABAB LEMATAN,107,KEBAKARAN HUTAN DAN LAHAN,Lahan Terbakar,19,8,2018,0,0,0,0,0,0,0,0,0,0,0
5207108201808192,52,NUSA TENGGARA BARAT,5207,SUMBAWA BARAT,108,GEMPA BUMI,LAPORAN AWAL PASCA KEJADIAN GEMPA BUMI 19/08/2018 30 Km TIMUR LAUT LOMBOK TIMUR NTB 6,5 MAGNITUDO,19,8,2018,4,68,0,0,23336,2331,5896,6728,7,62,60
1612107201808181,16,SUMATERA SELATAN,1612,PENUKAL ABAB LEMATAN,107,KEBAKARAN HUTAN DAN LAHAN,Lahan Terbakar,18,8,2018,0,0,0,0,0,0,0,0,0,0,0
1610107201808181,16,SUMATERA SELATAN,1610,OGAN ILIR,107,KEBAKARAN HUTAN DAN LAHAN,karhutlah meranjat III,18,8,2018,0,0,0,0,0,0,0,0,0,0,0
1275105201808181,12,SUMATERA UTARA,1275,MEDAN,105,PUTING BELIUNG,Angin Puting Beliung kel.Asam Kumbang  kec. Medan Sunggal,18,8,2018,0,0,0,0,0,0,0,3,0,0,0
1275105201808182,12,SUMATERA UTARA,1275,MEDAN,105,PUTING BELIUNG,Angin Puting Beliung kel.Rengas Pulau kec. Medan Marelan,18,8,2018,0,0,0,0,0,1,0,2,0,0,0
1612106201808171,16,SUMATERA SELATAN,1612,PENUKAL ABAB LEMATAN,106,KEKERINGAN,Kekeringan air bersih,17,8,2018,0,0,0,0,0,0,0,0,0,0,0
1610107201808171,16,SUMATERA SELATAN,1610,OGAN ILIR,107,KEBAKARAN HUTAN DAN LAHAN,karhutlah meranjat III,17,8,2018,0,0,0,0,0,0,0,0,0,0,0
1610107201808151,16,SUMATERA SELATAN,1610,OGAN ILIR,107,KEBAKARAN HUTAN DAN LAHAN,Karhutlah Meranjat I,15,8,2018,0,0,0,0,0,0,0,0,0,0,0
6474107201808121,64,KALIMANTAN TIMUR,6474,BONTANG,107,KEBAKARAN HUTAN DAN LAHAN,Kebakaran Lahan,12,8,2018,0,0,0,0,0,0,0,0,0,0,0
1610107201808121,16,SUMATERA SELATAN,1610,OGAN ILIR,107,KEBAKARAN HUTAN DAN LAHAN,Karhutlah 12 agustus 2018,12,8,2018,0,0,0,0,0,0,0,0,0,0,0
1275101201808121,12,SUMATERA UTARA,1275,MEDAN,101,BANJIR,BANJIR ROB DI KEL. NELAYAN INDAH, KEL. SEI MATI KEC. MEDAN LABUHAN,12,8,2018,0,0,0,4401,0,0,0,0,0,0,0
1275101201808122,12,SUMATERA UTARA,1275,MEDAN,101,BANJIR,BANJIR ROB DI KEL. BELAWAN I , KEL. SICANANG  KEL. BAGAN DELI, KEL. BELAWAN  BAHARI, BELAWAN BAHAGIA KEC. MEDAN LABUHAN,12,8,2018,0,0,0,13502,0,0,0,0,0,0,0
1612107201808071,16,SUMATERA SELATAN,1612,PENUKAL ABAB LEMATAN,107,KEBAKARAN HUTAN DAN LAHAN,Lahan Terbakar,7,8,2018,0,0,0,0,0,0,0,0,0,0,0
3328106201808071,33,JAWA TENGAH,3328,TEGAL,106,KEKERINGAN,kekeringan,7,8,2018,0,0,0,0,0,0,0,0,0,0,0
1610107201808041,16,SUMATERA SELATAN,1610,OGAN ILIR,107,KEBAKARAN HUTAN DAN LAHAN,Karhutlahn KTM sungai Rambutan,4,8,2018,0,0,0,0,0,0,0,0,0,0,0
1610107201808031,16,SUMATERA SELATAN,1610,OGAN ILIR,107,KEBAKARAN HUTAN DAN LAHAN,Karhutlah Muara Baru,3,8,2018,0,0,0,0,0,0,0,0,0,0,0
1612107201808031,16,SUMATERA SELATAN,1612,PENUKAL ABAB LEMATAN,107,KEBAKARAN HUTAN DAN LAHAN,Lahan Terbakar,3,8,2018,0,0,0,0,0,0,0,0,0,0,0
1610107201808021,16,SUMATERA SELATAN,1610,OGAN ILIR,107,KEBAKARAN HUTAN DAN LAHAN,Karhutlah 02 agustus 2018,2,8,2018,0,0,0,0,0,0,0,0,0,0,0
3328106201808011,33,JAWA TENGAH,3328,TEGAL,106,KEKERINGAN,kekeringan,1,8,2018,0,0,0,0,0,0,0,0,0,0,0
3310106201807311,33,JAWA TENGAH,3310,KLATEN,106,KEKERINGAN,Kekeringan,31,7,2018,0,0,0,0,0,0,0,0,0,0,0
5201108201807291,52,NUSA TENGGARA BARAT,5201,LOMBOK BARAT,108,GEMPA BUMI,Gempa Bumi Lombok Barat,29,7,2018,0,0,0,87,87,6,13,8,0,1,0
1610107201807251,16,SUMATERA SELATAN,1610,OGAN ILIR,107,KEBAKARAN HUTAN DAN LAHAN,Karhutlah Talang Pangeran Ilir,25,7,2018,0,0,0,0,0,0,0,0,0,0,0
3301104201807251,33,JAWA TENGAH,3301,CILACAP,104,GELOMBANG PASANG / ABRASI,Perahu Nelayan Terdampar di Hempas Gelombang Tinggi,25,7,2018,0,0,0,0,0,0,0,0,0,0,0
5201104201807251,52,NUSA TENGGARA BARAT,5201,LOMBOK BARAT,104,GELOMBANG PASANG / ABRASI,BENCANAROB LOMBOK BARAT,25,7,2018,0,0,0,118,118,0,1,0,0,0,0
1610107201807221,16,SUMATERA SELATAN,1610,OGAN ILIR,107,KEBAKARAN HUTAN DAN LAHAN,,22,7,2018,0,0,0,0,0,0,0,0,0,0,0
1610107201807201,16,SUMATERA SELATAN,1610,OGAN ILIR,107,KEBAKARAN HUTAN DAN LAHAN,Kahutbunlah samping tol serai,20,7,2018,0,0,0,0,0,0,0,0,0,0,0
