"monthyear","theme","count"
"201502","NATURAL_DISASTER_VOLCANOES","96"
"201502","NATURAL_DISASTER_VOLCANO","122"
"201502","NATURAL_DISASTER_VOLCANIC","145"
"201502","NATURAL_DISASTER_TYPHOONS","11"
"201502","NATURAL_DISASTER_TYPHOON","40"
"201502","NATURAL_DISASTER_TWISTER","29"
"201502","NATURAL_DISASTER_TSUNAMIS","18"
"201502","NATURAL_DISASTER_TSUNAMI","2356"
"201502","NATURAL_DISASTER_TROPICAL_CYCLONE","60"
"201502","NATURAL_DISASTER_TREMORS","17"
"201502","NATURAL_DISASTER_TREMOR","17"
"201502","NATURAL_DISASTER_TORRENTIAL_RAIN","35"
"201502","NATURAL_DISASTER_TIDAL_WAVES","22"
"201502","NATURAL_DISASTER_TIDAL_WAVE","60"
"201502","NATURAL_DISASTER_TEMBLOR","32"
"201502","NATURAL_DISASTER_SNOWSTORMS","20"
"201502","NATURAL_DISASTER_SMOG","16"
"201502","NATURAL_DISASTER_SEVERE_WEATHER","44"
"201502","NATURAL_DISASTER_RICHTER_SCALE","49"
"201502","NATURAL_DISASTER_NATURAL_DISASTERS","102"
"201502","NATURAL_DISASTER_NATURAL_DISASTER","31"
"201502","NATURAL_DISASTER_MUDSLIDE","12"
"201502","NATURAL_DISASTER_MONSOON","34"
"201502","NATURAL_DISASTER_MAGMA","18"
"201502","NATURAL_DISASTER_LAVA","34"
"201502","NATURAL_DISASTER_LANDSLIDES","57"
"201502","NATURAL_DISASTER_LANDSLIDE","35"
"201502","NATURAL_DISASTER_ICY","132"
"201502","NATURAL_DISASTER_ICE","251"
"201502","NATURAL_DISASTER_HURRICANES","15"
"201502","NATURAL_DISASTER_HURRICANE","52"
"201502","NATURAL_DISASTER_HIGH_WINDS","20"
"201502","NATURAL_DISASTER_HIGH_WATER","11"
"201502","NATURAL_DISASTER_HEAVY_RAIN","11"
"201502","NATURAL_DISASTER_GRASS_FIRE","41"
"201502","NATURAL_DISASTER_FRIGID","21"
"201502","NATURAL_DISASTER_FOREST_FIRES","21"
"201502","NATURAL_DISASTER_FLOODS","64"
"201502","NATURAL_DISASTER_FLOODING","390"
"201502","NATURAL_DISASTER_FLOODED","161"
"201502","NATURAL_DISASTER_FLOOD","98"
"201502","NATURAL_DISASTER_FAMINE","38"
"201502","NATURAL_DISASTER_EXTREME_WEATHER","12"
"201502","NATURAL_DISASTER_ERUPTIONS","17"
"201502","NATURAL_DISASTER_ERUPTION","94"
"201502","NATURAL_DISASTER_EROSION","74"
"201502","NATURAL_DISASTER_EARTHQUAKES","188"
"201502","NATURAL_DISASTER_EARTHQUAKE","422"
"201502","NATURAL_DISASTER_DROWNING","18"
"201502","NATURAL_DISASTER_DROWNED","117"
"201502","NATURAL_DISASTER_DROUGHTS","124"
"201502","NATURAL_DISASTER_DROUGHT","235"
"201502","NATURAL_DISASTER_CYCLONES","11"
"201502","NATURAL_DISASTER_CYCLONE","200"
"201502","NATURAL_DISASTER_CHILL","26"
"201502","NATURAL_DISASTER_BUSH_FIRE","33"
"201502","NATURAL_DISASTER_BUSHFIRE","12"
"201502","NATURAL_DISASTER_AVALANCHES","49"
"201502","NATURAL_DISASTER_AVALANCHE","30"
"201502","NATURAL_DISASTER","2434"
"201503","NATURAL_DISASTER_WINTRY","15"
"201503","NATURAL_DISASTER_WINTER_STORM","22"
"201503","NATURAL_DISASTER_WILDFIRES","24"
"201503","NATURAL_DISASTER_WILDFIRE","60"
"201503","NATURAL_DISASTER_WATER_LEVEL","29"
"201503","NATURAL_DISASTER_VOLCANOES","883"
