"tahun","bulan","nama_bulan","nilai_ekspor","berat_ekspor","nilai_impor","berat_impor"
"1999","1","Januari/January","3017850000","18307900000","1772190000","4521020000"
"1999","2","Pebruari/February","3194990000","17957400000","1808710000","5445460000"
"1999","3","Maret/March","3952970000","19415200000","1976420000","4640960000"
"1999","4","April/April","3886120000","18564700000","2121890000","4478300000"
"1999","5","Mei/May","4041270000","19093300000","1959120000","4988590000"
"1999","6","Juni/June","3595040000","16476000000","1896300000","4728970000"
"1999","7","Juli/July","4233840000","20699400000","2007010000","5952000000"
"1999","8","Agustus/August","4623820000","20848700000","2043870000","5651440000"
"1999","9","September/September","4537120000","20837000000","2154800000","6407790000"
"1999","10","Oktober/October","4638190000","20678300000","2048030000","5270170000"
"1999","11","Nopember/November","4457090000","21868800000","2059720000","4748270000"
"1999","12","Desember/December","4487170000","20219400000","2155120000","5407840000"
"2000","1","Januari/January","4394010000","19754100000","2169490000","5497480000"
"2000","2","Pebruari/February","4793820000","20413900000","2120400000","5053280000"
"2000","3","Maret/March","4951450000","20439500000","2265150000","5504130000"
"2000","4","April/April","5011980000","20793900000","2338880000","5682180000"
"2000","5","Mei/May","4857940000","20090200000","2383560000","5363500000"
"2000","6","Juni/June","5346200000","16944900000","2473480000","5394700000"
"2000","7","Juli/July","5390990000","14741700000","2687250000","5560430000"
"2000","8","Agustus/August","5576020000","17106600000","3236520000","6080730000"
"2000","9","September/September","5772920000","17773100000","3446210000","6017730000"
"2000","10","Oktober/October","5563340000","18830400000","3488350000","5909930000"
"2000","11","Nopember/November","5239330000","19403900000","3573930000","6142220000"
"2000","12","Desember/December","5226020000","18810700000","3331590000","5182600000"
"2001","1","Januari/January","4890340000","25080400000","2941140000","5098610000"
"2001","2","Pebruari/February","4738520000","17054100000","3177310000","5943260000"
"2001","3","Maret/March","5238050000","25852600000","3094330000","6249210000"
"2001","4","April/April","4785700000","30301100000","2916000000","5722350000"
"2001","5","Mei/May","4850610000","22505700000","2912890000","6380170000"
"2001","6","Juni/June","4846660000","17301300000","2703220000","5341610000"
"2001","7","Juli/July","4865740000","23071000000","2453320000","5449010000"
"2001","8","Agustus/August","5123800000","25325100000","2349130000","5114220000"
"2001","9","September/September","4350100000","20548300000","2132980000","4911770000"
"2001","10","Oktober/October","4519460000","23643500000","2078990000","4951670000"
"2001","11","Nopember/November","3894700000","20473600000","2117380000","5084880000"
"2001","12","Desember/December","4217230000","21300000000","2085450000","5320030000"
"2002","1","Januari/January","4087600000","18016700000","2088000000","5293040000"
"2002","2","Pebruari/February","4197040000","18561300000","2182210000","5696120000"
"2002","3","Maret/March","4554950000","18533800000","2362700000","6010420000"
"2002","4","April/April","4801310000","18384800000","2382850000","5347550000"
"2002","5","Mei/May","4725140000","15352300000","2498180000","5979560000"
"2002","6","Juni/June","5094930000","20071500000","2438910000","5799120000"
"2002","7","Juli/July","5001770000","20992600000","2646210000","6530680000"
"2002","8","Agustus/August","4927540000","18616900000","2823790000","6086010000"
"2002","9","September/September","5142290000","21279900000","2860190000","5884560000"
"2002","10","Oktober/October","5328400000","18621500000","3104800000","6825340000"
"2002","11","Nopember/November","4437190000","14906700000","2955920000","6775290000"
"2002","12","Desember/December","4860600000","19932200000","2945090000","6513490000"
"2003","1","Januari/January","4997430000","17342700000","2739210000","6923750000"
"2003","2","Pebruari/February","4980870000","16675800000","2818560000","6555300000"
"2003","3","Maret/March","5161880000","17109800000","2817520000","5659180000"
"2003","4","April/April","5057080000","19182600000","2621820000","5341150000"
"2003","5","Mei/May","4960560000","18390100000","2575840000","5658410000"
"2003","6","Juni/June","5295300000","18439500000","2446870000","5359330000"
"2003","7","Juli/July","5271040000","18541400000","2609290000","5784070000"
"2003","8","Agustus/August","5023690000","19975500000","2696130000","5624970000"
"2003","9","September/September","5056840000","17662500000","2740320000","5733150000"
"2003","10","Oktober/October","5056980000","17764800000","2801710000","5680900000"
