Kompascom Sabet Penghargaan Berita Online Terpercaya dari Superbrands,"JAKARTA,  KOMPAS.com -  Kompas.com mendapat penghargaan  Superbrands untuk kategori Berita Online Terpercaya (Trusted Online News). Penghargaan diberikan pada Gala Awards Night 2018 yang digelar di Hotel JW Marriot, Jakarta, Jumat (27/7/2018) malam.
Mewakili Kompas.com, Pemimpin Redaksi Kompas.com Wisnu Nugroho menerima secara simbolik penghargaan tersebut dari CEO Superbrands Indonesia Grandtyana Mayasari.  Saat ditemui di sela-sela acara, Wisnu menyampaikan terima kasih kepada para pembaca Kompas.com yang menaruh kepercayaan pada berita-berita yang diproduksi jurnalis dan tim redaksi Kompas.com.  ""Ini adalah bonus atas upaya Kompas.com menjaga kepercayaan pembaca kepada kami,"" ujar Wisnu Nugroho, usai menerima penghargaan.
Baca juga: VIK Kompas.com Raih Penghargaan Internasional Asian Digital Awards Wisnu menilai penghargaan tersebut akan memacu Kompas.com untuk bekerja lebih baik lagi, terutama untuk menjadi referensi berita terpercaya di tengah banjirnya informasi akhir-akhir ini. ""Kompas.com akan terus berusaha menjadi sumber berita terpercaya di tengah banjir informasi,"" sebutnya.Menurut Wisnu, dengan menjadi sumber berita terpercaya, berita Kompas.com diharapkan dapat membantu pembaca menemukan kepastian di tengah ketidakpastian karena banjir informasi yang munculkan disinformasi (hoaks).
Baca juga: Jurnalis Kompas.com Raih Juara Kontes Infografis pada Workshop Visualisasi DataApresiasi kepada pelaku industri
Dalam acara ini, ada puluhan produk yang mendapat penghargaan sebagai yang terbaik di kategorinya masing-masing.
Grandtyana Mayasari menyatakan, pemberian penghargaan tersebut merupakan bentuk apresiasi Superbrands Indonesia kepada pelaku industri.
Menurut dia, keberhasilan mencipatkan produk dan menerapkan strategi marketing yang tepat berdampak signifikan terhadap merk masing-masing.  ""Superbrands terus berupaya untuk menaikkan nilai jual logo Superbrands sehingga merk yang membawanya juga akan meningkat nilainya di mata konsumen,"" kata Grandtyana. 

            googletag.cmd.push(function() { googletag.display('div-gpt-ad-974648810682144181-4112'); });","27/07/2018, 21:52 WIB"
Berita Populer Penjelasan soal Klaim Orang Indonesia Hidup Paspasan,"JAKARTA, KOMPAS.com - Berita tentang penjelasan Badan Pusat Statistik (BPS) terkait klaim 90 persen orang Indonesia hidup pas-pasan menjadi yang paling banyak dibaca di kanal Ekonomi Kompas.com, Kamis (25/10/2018). Penjelasan itu disampaikan oleh Kepala BPS Suhariyanto.
Selain itu, ada pula artikel menarik tentang gaji 15 pekerjaan yang paling diminati generasi Z. Pun berita tentang Lippo Cikarang yang melepas saham pengembang  Meikarta.
Berikut 5 berita terpopuler kanal Ekonomi Kompas.com yang belum terlambat untuk Anda baca pagi ini.
1. Ada Klaim 99 Persen Orang Indonesia Hidup Pas-pasan, Ini Kata BPS
Kepala Badan Pusat Statistik (BPS) Suhariyanto enggan mengomentari pernyataan calon presiden nomor urut dua  Prabowo Subianto mengenai kondisi mayoritas masyarakat Indonesia yang hidup pas-pasan.
Prabowo menyebut 99 persen masyarakat Indonesia hidup secara pas-pasan ketika sedang berdialog dengan pendukungnya di Bali, Jumat (19/10/2018) lalu.
Meski demikian, Suhariyanto mengingatkan agar dalam menanggapi pernyataan siapa pun yang menyertakan data, perlu dicari tahu terlebih dahulu dari mana sumber data tersebut. Setelah diketahui, lalu dipastikan apakah data tersebut valid atau tidak.
Baca selengkapnya: Ada Klaim 99 Persen Orang Indonesia Hidup Pas-pasan, Ini Kata BPS
2. 15 Pekerjaan Ini Digemari Generasi Z, Berapa Gajinya?
Mungkin sulit membayangkan bahwa orang yang lahir hingga akhir tahun 2000 atau disebut sebagai Gen Z sudah ada yang memasuki jenjang karier profesional mereka.
Namun, dari sekian banyak pekerjaan, ternyata pekerjaan di bidang teknologi sangat disukai oleh pekerja berusia 18-25 tahun saat ini. Dikutip dari Business Insider, Kamis (25/10/2018), bahkan beberapa dari pekerjaan tersebut bergaji cukup tinggi.
Baca selengkapnya: 15 Pekerjaan Ini Digemari Generasi Z, Berapa Gajinya?
3. Lepas Saham Pengembang Meikarta, Lippo Cikarang Raup Rp 2,35 Triliun
Lippo Group tak lagi sepenuhnya memiliki saham PT Mahkota Sentosa Utama (MSU), pengembang proyek Meikarta di Cikarang, Jawa Barat. Hal tersebut diketahui dari laporan keuangan Lippo Karawaci Semester I 2018.
Mengutip laporan keuangan Lippo Karawaci, Kamis (25/10/2018), anak usahanya yakni Lippo Cikarang melepas kepemilikannya di Mahkota Sentosa Utama kepada perusahaan asing Hasdeen Holding. Dengan pelepasan tersebut, saat ini emiten tersebut menguasai 49,99 persen Mahkota Sentosa Utama.
Dengan pelepasan saham tersebut, Lippo Cikarang meraup keuntungan Rp 2,35 triliun.
Baca selengkapnya: Lepas Saham Pengembang Meikarta, Lippo Cikarang Raup Rp 2,35 Triliun
4. Ini 3 Pilihan Cara Berinvestasi di ORI015 yang Bisa Dipilih Milenial
Pemerintah tengah gencar menawarkan produk  investasi Obligasi Ritel Indonesia atau biasa disebut ORI.
Untuk tahun ini, ORI015 ditawarkan dengan tingkat kupon 8,25 persen per tahun. Bila tidak ada perubahan, masa penawaran ORI015 sudah digelar sejak 4 Oktober lalu sampai akhir Oktober ini.
Dengan berinvestasi di ORI015, Anda bisa berkesempatan menjadi kreditur bagi negara. Yang pasti, di tengah kondisi pasar finansial yang masih belum stabil dan cenderung mendapatkan banyak tekanan, berinvestasi di ORI015 dapat menjadi alternatif yang tepat.
Baca selengkapnya: Ini 3 Pilihan Cara Berinvestasi di ORI015 yang Bisa Dipilih Milenial
5. NPL Naik,  BRI Sebut Ada 3 Perusahaan Alami Kredit Macet
PT Bank Rakyat Indonesia (Persero) Tbk dalam paparan kinerja kuartal II mencatatkan peningkatan rasio  kredit bermasalah atau Non Performing Loan (NPL) gross sebesar 2,5 persen dari periode yang sama tahun lalu yang sebesar 2,33 persen.
Kenaikan NPL tersebut juga terjadi jika dibandingkan dengan kuartal II tahun ini yang sebesar 2,41 persen.
Direktur Corporate Banking BRI Kuswiyoto menjelaskan, kenaikan NPL didorong oleh kenaikan NPL di segmen kredit korporasi lantaran terdapat 3 nasabah yang mengalami kredit bermasalah.
Baca selengkapnya: NPL Naik, BRI Sebut Ada 3 Perusahaan Alami Kredit Macet
 

            googletag.cmd.push(function() { googletag.display('div-gpt-ad-974648810682144181-4112'); });","26/10/2018, 06:00 WIB"
Diversifikasi Bisnis Indika Energy Lirik Energi Terbarukan,"JAKARTA, KOMPAS.com - PT  Indika Energy Tbk berencana akan mendiversifikasi rencana bisnis sektor energinya.
Direktur Utama Indika Energy Arsjad Rasjid mengatakan, selain tetap fokus pada sektor energi utama saat ini yakni  batu bara, pihaknya juga siap bergerak ke sektor  energi terbarukan. “Ke depan, kita perlu merambah energi lainnya seperti tenaga surya, karena (energi) sustainable itu sangat penting. Kita akan masuk ke non batubara di dalam energinya dan industri bisnis lainnya,” jelas Arsjad pada acara Ulang Tahun ke-18 Indika Energy di Jakarta, Kamis (25/10/2018) malam. Hal ini dilakukan Indika Energi untuk mengeksplorasi target sektor bisnis yang baru, dan terus mendorong kerja sama di antara unit usaha. Sementara itu, soal target pendapatan dari diversifikasi dalam sektor energi tersebut, Arsjad menargetkan pendapatan bersih sebesar 25 persen. “Ke depannya kita ingin di atas 25 persen net income dari energi bukan batu bara (energi terbarukan). Supaya tidak bergantung (hanya dari batu bara),” jelasnya. Walaupun dilakukan divesifikasi, energi batu bara akan tetap dipelukan. Hal itu dilakukan agar risiko investasi dalam sektor yang dipegang oleh Indika Energy bisa terbagi. “Supaya secara portofolio kita melihat risiko itu terbagi,” tutur Arsjad. Saat ini pula, Indika Energi tengah mengembangkan sektor midstream minyak dan gas dengan membangun terminal penyimpanan produk bahan bakar, juga menyediakan layanan informasi, komunikasi dan teknologi (ICT) dengan mendirikan Indika Digital Teknologi. “Tujuan pengembangan bisnis perusahaan adalah agar secara jangka panjang Indika Energy dapat memberikan nilai tambah yang optimal dan berkelanjutan untuk seluruh pemangku kepentingan, juga berkontribusi lebih besar kepada pembangunan Indonesia,” ucap Arsjad.

            googletag.cmd.push(function() { googletag.display('div-gpt-ad-974648810682144181-4112'); });","26/10/2018, 05:45 WIB"
Lagi Jack Ma Jadi Orang Terkaya di China,"HONG KONG, KOMPAS.com - Pendiri dan pimpinan  Alibaba Group  Jack Ma kembali dinobatkan sebagai  orang terkaya di China tahun 2018. Ini berdasarkan daftar orang terkaya China yang dirilis Forbes.
Dikutip dari Forbes, Jumat (26/10/2018), ada 400 orang yang masuk ke dalam daftar terkaya di China. Adapun total kekayaan mereka mencapai 1,06 triliun dollar AS. 
Kekayaan Ma tercatat mencapai 34,6 miliar dollar AS atau setara sekitar Rp 525,9 triliun. Sebelumnya, Ma kehilangan predikat sebagai orang terkaya di China pada tahun 2014 silam. 
Berada di bawah Ma adalah pendiri dan pimpinan Tencent Ma Huateng atau Pony Ma yang memiliki kekayaan 32,8 miliar dollar AS. Selanjutnya, ada pimpinan Evergrande Group Xu Jiayin atau Hui Ka Yan yang memiliki kekayaan 30,8 miliar dollar AS. 
Meski demikian, kekayaan ketiga orang tersebut sebenarnya menurun dibandingkan tahun lalu. Kekayaan ketiganya masing-masing menyusut 4 miliar dollar AS, 6,2 miliar dollar AS, dan 11,7 miliar dollar AS. 
Berikut ini adalah 10 orang terkaya di China versi Forbes.

Jack Ma (54 tahun, Alibaba Group, 34,6 miliar dollar AS)
Ma Huateng atau Pony Ma (46 tahun, Tencent, 32,8 miliar dollar AS)
Hui Ka Yan atau Xu Jiayin (60 tahun, Evergrande Group, 30,8 miliar dollar AS)
Wang Jianlin (64 tahun, Dalian Wanda Group, 22,7 miliar dollar AS)
He Xiangjian (76 tahun, Midea, 19,5 miliar dollar AS)
Yang Huiyan (37 tahun, Country Garden Holdings, 17,1 miliar dollar AS)
Wang Wei (48 tahun, SF Express, 14,9 miliar dollar AS)
Robin Li (49 tahun, Baidu, 14,6 miliar dollar AS)
Li Shufu (55 tahun, Geely, 14,2 miliar dollar AS)
William Ding (47 tahun, NetEase, 13,5 miliar dollar AS)


            googletag.cmd.push(function() { googletag.display('div-gpt-ad-974648810682144181-4112'); });","26/10/2018, 05:30 WIB"
Kerja Sama dengan MasterCard Grab Sediakan Layanan Kartu Kredit,"SINGAPURA, KOMPAS.com - Perusahaan ride hailing asal Singapura,  Grab, menggandeng  MasterCard untuk menyediakan jasa  kartu kredit kepada pelanggan mereka di Asia Tenggara.
Sehingga, pelanggan yang tidak memiliki kartu kredit tradisional dapat memanfaatkan jasa layanan prabayar secara digital tanpa perlu memiliki uu rekenin di bank. Dikutip dari StraitsTimes, Jumat (26/10/2018), kedua perusahaan ini berharap dapat memanfaatkan 110 juta pengguna Grab sekaligus jaringan MasterCard yang memiliki setidaknya 3 juta gerai di kawasan Asia Tenggara. ""Kemitraan dengan Grab ini secara signifikasn meningkatkan jangkauan kami di Asia Tenggara dan sejalan dengan tujuan kami memperluas pembayaran digital di semua lini kegiatan ekonomi,"" sebut  Mastercard. Grab akan memanfaatkan jasa kartu kredit ini baik secara fisik maupun virtual melalui aplikasinya. Nantinya, pelanggan dapat mengisi ulang kartu mereka menggunakan uang tunai melalui merchant, agen, atau pengemudi melalui platform  GrabPay. Layanan ini mulai bisa dimanfaatkan pada paruh pertama tahun 2019, di mulai dari Singapura dan Filipina. Tidak hanya untuk memesan kendaraan saja, konsumen dapat memanfaatkan kartu kredit ini untuk membeli produk dan jasa lainnya secara online. Adapun Grab sendiri semakin mengembangkan bisnisnya, sebagai sebuah perusahaan teknologi,  grab juga mulai menyediakan jasa pengiriman makanan serta parsel, peminjaman dana sekaligus alat pembayaran digital yang tumbuh pesat di kawasan Asia Tenggara.

            googletag.cmd.push(function() { googletag.display('div-gpt-ad-974648810682144181-4112'); });","26/10/2018, 06:33 WIB"
Berita Populer Penjelasan soal Klaim Orang Indonesia Hidup Paspasan,"JAKARTA, KOMPAS.com - Berita tentang penjelasan Badan Pusat Statistik (BPS) terkait klaim 90 persen orang Indonesia hidup pas-pasan menjadi yang paling banyak dibaca di kanal Ekonomi Kompas.com, Kamis (25/10/2018). Penjelasan itu disampaikan oleh Kepala BPS Suhariyanto.
Selain itu, ada pula artikel menarik tentang gaji 15 pekerjaan yang paling diminati generasi Z. Pun berita tentang Lippo Cikarang yang melepas saham pengembang  Meikarta.
Berikut 5 berita terpopuler kanal Ekonomi Kompas.com yang belum terlambat untuk Anda baca pagi ini.
1. Ada Klaim 99 Persen Orang Indonesia Hidup Pas-pasan, Ini Kata BPS
Kepala Badan Pusat Statistik (BPS) Suhariyanto enggan mengomentari pernyataan calon presiden nomor urut dua  Prabowo Subianto mengenai kondisi mayoritas masyarakat Indonesia yang hidup pas-pasan.
Prabowo menyebut 99 persen masyarakat Indonesia hidup secara pas-pasan ketika sedang berdialog dengan pendukungnya di Bali, Jumat (19/10/2018) lalu.
Meski demikian, Suhariyanto mengingatkan agar dalam menanggapi pernyataan siapa pun yang menyertakan data, perlu dicari tahu terlebih dahulu dari mana sumber data tersebut. Setelah diketahui, lalu dipastikan apakah data tersebut valid atau tidak.
Baca selengkapnya: Ada Klaim 99 Persen Orang Indonesia Hidup Pas-pasan, Ini Kata BPS
2. 15 Pekerjaan Ini Digemari Generasi Z, Berapa Gajinya?
Mungkin sulit membayangkan bahwa orang yang lahir hingga akhir tahun 2000 atau disebut sebagai Gen Z sudah ada yang memasuki jenjang karier profesional mereka.
Namun, dari sekian banyak pekerjaan, ternyata pekerjaan di bidang teknologi sangat disukai oleh pekerja berusia 18-25 tahun saat ini. Dikutip dari Business Insider, Kamis (25/10/2018), bahkan beberapa dari pekerjaan tersebut bergaji cukup tinggi.
Baca selengkapnya: 15 Pekerjaan Ini Digemari Generasi Z, Berapa Gajinya?
3. Lepas Saham Pengembang Meikarta, Lippo Cikarang Raup Rp 2,35 Triliun
Lippo Group tak lagi sepenuhnya memiliki saham PT Mahkota Sentosa Utama (MSU), pengembang proyek Meikarta di Cikarang, Jawa Barat. Hal tersebut diketahui dari laporan keuangan Lippo Karawaci Semester I 2018.
Mengutip laporan keuangan Lippo Karawaci, Kamis (25/10/2018), anak usahanya yakni Lippo Cikarang melepas kepemilikannya di Mahkota Sentosa Utama kepada perusahaan asing Hasdeen Holding. Dengan pelepasan tersebut, saat ini emiten tersebut menguasai 49,99 persen Mahkota Sentosa Utama.
Dengan pelepasan saham tersebut, Lippo Cikarang meraup keuntungan Rp 2,35 triliun.
Baca selengkapnya: Lepas Saham Pengembang Meikarta, Lippo Cikarang Raup Rp 2,35 Triliun
4. Ini 3 Pilihan Cara Berinvestasi di ORI015 yang Bisa Dipilih Milenial
Pemerintah tengah gencar menawarkan produk  investasi Obligasi Ritel Indonesia atau biasa disebut ORI.
Untuk tahun ini, ORI015 ditawarkan dengan tingkat kupon 8,25 persen per tahun. Bila tidak ada perubahan, masa penawaran ORI015 sudah digelar sejak 4 Oktober lalu sampai akhir Oktober ini.
Dengan berinvestasi di ORI015, Anda bisa berkesempatan menjadi kreditur bagi negara. Yang pasti, di tengah kondisi pasar finansial yang masih belum stabil dan cenderung mendapatkan banyak tekanan, berinvestasi di ORI015 dapat menjadi alternatif yang tepat.
Baca selengkapnya: Ini 3 Pilihan Cara Berinvestasi di ORI015 yang Bisa Dipilih Milenial
5. NPL Naik,  BRI Sebut Ada 3 Perusahaan Alami Kredit Macet
PT Bank Rakyat Indonesia (Persero) Tbk dalam paparan kinerja kuartal II mencatatkan peningkatan rasio  kredit bermasalah atau Non Performing Loan (NPL) gross sebesar 2,5 persen dari periode yang sama tahun lalu yang sebesar 2,33 persen.
Kenaikan NPL tersebut juga terjadi jika dibandingkan dengan kuartal II tahun ini yang sebesar 2,41 persen.
Direktur Corporate Banking BRI Kuswiyoto menjelaskan, kenaikan NPL didorong oleh kenaikan NPL di segmen kredit korporasi lantaran terdapat 3 nasabah yang mengalami kredit bermasalah.
Baca selengkapnya: NPL Naik, BRI Sebut Ada 3 Perusahaan Alami Kredit Macet
 

            googletag.cmd.push(function() { googletag.display('div-gpt-ad-974648810682144181-4112'); });","26/10/2018, 06:00 WIB"
Diversifikasi Bisnis Indika Energy Lirik Energi Terbarukan,"JAKARTA, KOMPAS.com - PT  Indika Energy Tbk berencana akan mendiversifikasi rencana bisnis sektor energinya.
Direktur Utama Indika Energy Arsjad Rasjid mengatakan, selain tetap fokus pada sektor energi utama saat ini yakni  batu bara, pihaknya juga siap bergerak ke sektor  energi terbarukan. “Ke depan, kita perlu merambah energi lainnya seperti tenaga surya, karena (energi) sustainable itu sangat penting. Kita akan masuk ke non batubara di dalam energinya dan industri bisnis lainnya,” jelas Arsjad pada acara Ulang Tahun ke-18 Indika Energy di Jakarta, Kamis (25/10/2018) malam. Hal ini dilakukan Indika Energi untuk mengeksplorasi target sektor bisnis yang baru, dan terus mendorong kerja sama di antara unit usaha. Sementara itu, soal target pendapatan dari diversifikasi dalam sektor energi tersebut, Arsjad menargetkan pendapatan bersih sebesar 25 persen. “Ke depannya kita ingin di atas 25 persen net income dari energi bukan batu bara (energi terbarukan). Supaya tidak bergantung (hanya dari batu bara),” jelasnya. Walaupun dilakukan divesifikasi, energi batu bara akan tetap dipelukan. Hal itu dilakukan agar risiko investasi dalam sektor yang dipegang oleh Indika Energy bisa terbagi. “Supaya secara portofolio kita melihat risiko itu terbagi,” tutur Arsjad. Saat ini pula, Indika Energi tengah mengembangkan sektor midstream minyak dan gas dengan membangun terminal penyimpanan produk bahan bakar, juga menyediakan layanan informasi, komunikasi dan teknologi (ICT) dengan mendirikan Indika Digital Teknologi. “Tujuan pengembangan bisnis perusahaan adalah agar secara jangka panjang Indika Energy dapat memberikan nilai tambah yang optimal dan berkelanjutan untuk seluruh pemangku kepentingan, juga berkontribusi lebih besar kepada pembangunan Indonesia,” ucap Arsjad.

            googletag.cmd.push(function() { googletag.display('div-gpt-ad-974648810682144181-4112'); });","26/10/2018, 05:45 WIB"
Lagi Jack Ma Jadi Orang Terkaya di China,"HONG KONG, KOMPAS.com - Pendiri dan pimpinan  Alibaba Group  Jack Ma kembali dinobatkan sebagai  orang terkaya di China tahun 2018. Ini berdasarkan daftar orang terkaya China yang dirilis Forbes.
Dikutip dari Forbes, Jumat (26/10/2018), ada 400 orang yang masuk ke dalam daftar terkaya di China. Adapun total kekayaan mereka mencapai 1,06 triliun dollar AS. 
Kekayaan Ma tercatat mencapai 34,6 miliar dollar AS atau setara sekitar Rp 525,9 triliun. Sebelumnya, Ma kehilangan predikat sebagai orang terkaya di China pada tahun 2014 silam. 
Berada di bawah Ma adalah pendiri dan pimpinan Tencent Ma Huateng atau Pony Ma yang memiliki kekayaan 32,8 miliar dollar AS. Selanjutnya, ada pimpinan Evergrande Group Xu Jiayin atau Hui Ka Yan yang memiliki kekayaan 30,8 miliar dollar AS. 
Meski demikian, kekayaan ketiga orang tersebut sebenarnya menurun dibandingkan tahun lalu. Kekayaan ketiganya masing-masing menyusut 4 miliar dollar AS, 6,2 miliar dollar AS, dan 11,7 miliar dollar AS. 
Berikut ini adalah 10 orang terkaya di China versi Forbes.

Jack Ma (54 tahun, Alibaba Group, 34,6 miliar dollar AS)
Ma Huateng atau Pony Ma (46 tahun, Tencent, 32,8 miliar dollar AS)
Hui Ka Yan atau Xu Jiayin (60 tahun, Evergrande Group, 30,8 miliar dollar AS)
Wang Jianlin (64 tahun, Dalian Wanda Group, 22,7 miliar dollar AS)
He Xiangjian (76 tahun, Midea, 19,5 miliar dollar AS)
Yang Huiyan (37 tahun, Country Garden Holdings, 17,1 miliar dollar AS)
Wang Wei (48 tahun, SF Express, 14,9 miliar dollar AS)
Robin Li (49 tahun, Baidu, 14,6 miliar dollar AS)
Li Shufu (55 tahun, Geely, 14,2 miliar dollar AS)
William Ding (47 tahun, NetEase, 13,5 miliar dollar AS)


            googletag.cmd.push(function() { googletag.display('div-gpt-ad-974648810682144181-4112'); });","26/10/2018, 05:30 WIB"
Kerja Sama dengan MasterCard Grab Sediakan Layanan Kartu Kredit,"SINGAPURA, KOMPAS.com - Perusahaan ride hailing asal Singapura,  Grab, menggandeng  MasterCard untuk menyediakan jasa  kartu kredit kepada pelanggan mereka di Asia Tenggara.
Sehingga, pelanggan yang tidak memiliki kartu kredit tradisional dapat memanfaatkan jasa layanan prabayar secara digital tanpa perlu memiliki uu rekenin di bank. Dikutip dari StraitsTimes, Jumat (26/10/2018), kedua perusahaan ini berharap dapat memanfaatkan 110 juta pengguna Grab sekaligus jaringan MasterCard yang memiliki setidaknya 3 juta gerai di kawasan Asia Tenggara. ""Kemitraan dengan Grab ini secara signifikasn meningkatkan jangkauan kami di Asia Tenggara dan sejalan dengan tujuan kami memperluas pembayaran digital di semua lini kegiatan ekonomi,"" sebut  Mastercard. Grab akan memanfaatkan jasa kartu kredit ini baik secara fisik maupun virtual melalui aplikasinya. Nantinya, pelanggan dapat mengisi ulang kartu mereka menggunakan uang tunai melalui merchant, agen, atau pengemudi melalui platform  GrabPay. Layanan ini mulai bisa dimanfaatkan pada paruh pertama tahun 2019, di mulai dari Singapura dan Filipina. Tidak hanya untuk memesan kendaraan saja, konsumen dapat memanfaatkan kartu kredit ini untuk membeli produk dan jasa lainnya secara online. Adapun Grab sendiri semakin mengembangkan bisnisnya, sebagai sebuah perusahaan teknologi,  grab juga mulai menyediakan jasa pengiriman makanan serta parsel, peminjaman dana sekaligus alat pembayaran digital yang tumbuh pesat di kawasan Asia Tenggara.

            googletag.cmd.push(function() { googletag.display('div-gpt-ad-974648810682144181-4112'); });","26/10/2018, 06:33 WIB"
Survei Perusahaan AS Mulai Terpukul Perang Dagang,"NEW YORK, KOMPAS.com - Perusahaan-perusahaan AS dikabarkan sudah mulai terpukul dampak  perang dagang yang digulirkan Presiden Donald Trump terhadap China. Perusahaan-perusahaan itu terimbas kenaikan  tarif.
Kekhawatiran yang sebelumnya disuarakan oleh perusahaan-perusahaan AS kini semakin nyata terasa. Sebab, pemesanan baru dari China harus terkena tarif yang lebih tinggi yang diterapkan pemerintahan Trump.
Dikutip dari Business Insider, Jumat (26/10/2018), survei yang dilakukan Federal Reserve dan beberapa perusahaan riset pasar menemukan meluasnya kekhawatiran tentang tarif  impor. Sementara itu, masing-masing perusahaan mulai menghitung biaya baru hingga mencapai puluhan juta dollar AS karena ada tarif.
Beige Book yang dirilis The Fed mencatatkan peningkatan kekhawatiran terkait perang dagang AS-China. Beige Book berisi kumpulan sudut pandang dari 12 Fed regional.
Kata ""tarif"" muncul 51 kali pada Beige Book edisi terbaru yang dirilis pada Rabu (24/10/2018) waktu setempat. Angka itu naik dibandingkan pada edisi September dan Juli 2018, yang tercatat masing-masing 41 kali dan 31 kali.
Ada sejumlah kekhawatiran terkait perang dagang yang tercatat di dalam Beige Book. Pertama, perusahaan-perusahaan AS khawatir bahan baku dari luar AS akan semakin mahal harganya.
Banyak di antara barang-barang tersebut digunakan di dalam  produk yang dijual oleh perusahaan AS kepada konsumen. Sehingga, biaya impor yang lebih tinggi mendorong kenaikan biaya bagi perusahaan dan harga di tingkat konsumen pun terkerek.
Kedua, kebijakan balasan terhadap tarif yang diterapkan Trump membuat perusahaan susah menjual barang-barangnya ke negara seperti China dan Kanada.
Akibatnya, harga di tingkat produsen di AS menjadi rendah. Perusahaan pun menerima pendapatan yang lebih rendah untuk produk mereka.

            googletag.cmd.push(function() { googletag.display('div-gpt-ad-974648810682144181-4112'); });","26/10/2018, 11:45 WIB"
