timestamp,tweet,username
Fri Oct 26 05:06:17 +0000 2018,"Remain attached to Allah during your happiness, and during your sadness....
Jumat 26 Oktober 2018 , tepat 1 bulan b… https://t.co/Pg6BXhm7Vt",ririelbisri
Fri Oct 26 05:04:30 +0000 2018,"RT @vivi_banseng: Mau #memetwit soal kondisi dan situasi gempa, tsunami, dan likuifaksi di palu, dari yang kemaren hingga saat ini.",NiaAdila2
Fri Oct 26 05:04:23 +0000 2018,"RT @vivi_banseng: Mau #memetwit soal kondisi dan situasi gempa, tsunami, dan likuifaksi di palu, dari yang kemaren hingga saat ini.",AtikaJuanita
Fri Oct 26 05:01:41 +0000 2018,RT @MetroTVNewsRoom: Bencana alam gempa bumi dan tsunami yang terjadi di Palu-Donggala mengakibatkan kerusakan infrastruktur hingga korban…,indahyunih
Fri Oct 26 05:00:43 +0000 2018,"RT @vivi_banseng: Mau #memetwit soal kondisi dan situasi gempa, tsunami, dan likuifaksi di palu, dari yang kemaren hingga saat ini.",Kamyl_Aly
Fri Oct 26 05:00:24 +0000 2018,Jadilah bagian dari #ToIDwithLove dalam memberikan dukungan kepada masyarakat Palu yang terkena musibah bencana ala… https://t.co/xDUUWQgwFy,AirAsia_indo
Fri Oct 26 05:00:19 +0000 2018,"RT @MetroTVToday: Jumat, 19 Oktober 2018, President Director Shiseido Cosmetics Indonesia – Ayako Tokuyama menyerahkan dana bantuan untuk k…",mariagraci8
Fri Oct 26 05:00:01 +0000 2018,Indonesia. A Palu regna il silenzio un mese dopo lo tsunami https://t.co/0aCOZYP07j,Avvenire_Nei
Fri Oct 26 04:59:08 +0000 2018,Trima kasih Ibu @TitiekSoeharto telah Berbuat dan Peduli dgn Masyarakat Kota Palu Kab. Sigi dan Kab. Donggala Korba… https://t.co/uRxUmnuhoR,asridana1
Fri Oct 26 04:58:31 +0000 2018,"RT @dinsos_jatim: Usai memberangkatkan personil Tagana Jatim pada awal Oktober lalu, Kadinsos Jatim juga turut mengunjungi korban gempa bum…",MariaPuspitas10
Fri Oct 26 04:57:43 +0000 2018,"Introducing: #Resistance Taylor Swift.

Here's your chance to support earthquake/tsunami relief and #MakeTaylorWoke… https://t.co/5Or8lfXkrW",mitatweets
Fri Oct 26 04:57:08 +0000 2018,"RT @asridana1: Ibu @TitiekSoeharto Peduli Gempa Tsunami dan Likuifaksi Palu Sigi Donggala

#BerkaryaPEDULI
#PartaiBerkarya https://t.co/NAE…",asroelbozz
Fri Oct 26 04:56:53 +0000 2018,"RT @HafizChai: Nyo Sio Jak membawakan mosh dan pogo sambil beramal.

Tiket: RM10
Lokasi: Studio 3 Abdul, Atas Megabite, Aiman Mall, Kota Sa…",srlkhvc
Fri Oct 26 04:56:31 +0000 2018,I added a video to a @YouTube playlist https://t.co/FgbshkaeDZ Kesaksian 'MUAZIN' Masjid Apung Palu yang selamat dari GEMPA &amp; TSUNAMI,PondokMunzir
Fri Oct 26 04:55:49 +0000 2018,I added a video to a @YouTube playlist https://t.co/1nwbi9uA3D [LENGKAP] Detik-detik tsunami palu!!! Tsunami palu indonesia 2018!!!,PondokMunzir
Fri Oct 26 04:55:32 +0000 2018,I added a video to a @YouTube playlist https://t.co/tjDZyZi4X9 Vidio Terakhir Gempa dan Tsunami Palu,PondokMunzir
Fri Oct 26 04:55:17 +0000 2018,"I added a video to a @YouTube playlist https://t.co/wAUvzpS3Cl Detik-detik Gempa Tsunami Palu 7,7 SR",PondokMunzir
Fri Oct 26 04:54:57 +0000 2018,I added a video to a @YouTube playlist https://t.co/FBaCAuTZC3 Vidio Terakhir diupload!! Detik-detik GEMPA/TSUNAMI PALU &amp; DONGGALA,PondokMunzir
Fri Oct 26 04:54:36 +0000 2018,I added a video to a @YouTube playlist https://t.co/WYmh5aQu8j Rekaman langsung tanah terbelah saat gempa dan Tsunami Palu,PondokMunzir
Fri Oct 26 04:54:32 +0000 2018,RT @MetroTVNewsRoom: Bencana alam gempa bumi dan tsunami yang terjadi di Palu-Donggala mengakibatkan kerusakan infrastruktur hingga korban…,mariagraci8
Fri Oct 26 04:54:10 +0000 2018,I added a video to a @YouTube playlist https://t.co/E4fYtYpiSF CCTV Gempa di iringi Tsunami Palu &amp; Donggala,PondokMunzir
Fri Oct 26 04:53:25 +0000 2018,I added a video to a @YouTube playlist https://t.co/YURxD20aEg Tsunami Palu - Arsitektur Mata Satu di Pantai Talise Palu,PondokMunzir
Fri Oct 26 04:53:25 +0000 2018,I added a video to a @YouTube playlist https://t.co/g2xM6ou5dV Bangunan Hancur Pasca Tsunami Palu dan Donggala,PondokMunzir
Fri Oct 26 04:52:07 +0000 2018,RT @MetroTVNewsRoom: Bencana alam gempa bumi dan tsunami yang terjadi di Palu-Donggala mengakibatkan kerusakan infrastruktur hingga korban…,FarahAzalea1
Fri Oct 26 04:51:52 +0000 2018,RT @MetroTVToday: Bencana alam gempa bumi dan tsunami yang terjadi di Palu-Donggala mengakibatkan kerusakan infrastruktur hingga korban jiw…,mariagraci8
Fri Oct 26 04:51:45 +0000 2018,Aksi Bela Tauhid di Kamp Pengungsi Gempa Tsunami Palu. https://t.co/rfip1PL50S,AGUSTIANA14
Fri Oct 26 04:47:36 +0000 2018,"RT @Ra_Ria_Rana: SAKSI HIDUP: tsunami Palu yg mnghncrkn Masjid &amp;mnghmpskn Pak Basrah mpe tngglm mbuat telinga,tngnn&amp;kaki bliau sobek.
Saat…",gillankzulfikar
Fri Oct 26 04:45:57 +0000 2018,RT @MetroTVNewsRoom: Bencana alam gempa bumi dan tsunami yang terjadi di Palu-Donggala mengakibatkan kerusakan infrastruktur hingga korban…,luckihend
Fri Oct 26 04:45:08 +0000 2018,"Bantu saudara kita korban gempa dan tsunami #Donggala #Palu #Sigi Sulawesi Tengah 

 #PrayForPalu  #PrayForDonggala… https://t.co/pUvIcshkrR",cari2info
Fri Oct 26 04:42:54 +0000 2018,"RT @MetroTVToday: Jumat, 19 Oktober 2018, President Director Shiseido Cosmetics Indonesia – Ayako Tokuyama menyerahkan dana bantuan untuk k…",FarahAzalea1
Fri Oct 26 04:41:26 +0000 2018,"RT @ACTforHumanity: Sahabat, berikut ini sejumlah kebutuhan yang sangat diperlukan oleh ratusan ribu pengungsi gempa dan tsunami di Palu -…",nufussama
Fri Oct 26 04:39:08 +0000 2018,"RT @asridana1: Ibu @TitiekSoeharto Peduli Gempa Tsunami dan Likuifaksi Palu Sigi Donggala

#BerkaryaPEDULI
#PartaiBerkarya https://t.co/NAE…",CendanaCenter
Fri Oct 26 04:38:47 +0000 2018,"@penikmatmilo aku butuh bangett:( hp aku rusak, mau beli tapi didaerah ku lagi kena musibah bencana alam yang besar… https://t.co/D039CVBcle",vlesstae
Fri Oct 26 04:35:29 +0000 2018,@AyongPrastetyo Mie Palu tsunami dong 😂,PutriArita
Fri Oct 26 04:34:20 +0000 2018,https://t.co/Mh02TJj1w1 https://t.co/CWWMWc6QdT,humaspoldagtlo
Fri Oct 26 04:33:04 +0000 2018,"Presiden Joko ""Jokowi"" Widodo tampaknya sudah geram dengan kabar-kabar hoax di media sosial tentang bencana gempa b… https://t.co/ZKJ0HEv23L",AzaliaIlyas
Fri Oct 26 04:32:41 +0000 2018,"RT @ACTforHumanity: Sahabat, berikut ini sejumlah kebutuhan yang sangat diperlukan oleh ratusan ribu pengungsi gempa dan tsunami di Palu -…",feieva
Fri Oct 26 04:32:28 +0000 2018,"RT @vivi_banseng: Mau #memetwit soal kondisi dan situasi gempa, tsunami, dan likuifaksi di palu, dari yang kemaren hingga saat ini.",miamey117
Fri Oct 26 04:32:03 +0000 2018,"Ibu @TitiekSoeharto Peduli Gempa Tsunami dan Likuifaksi Palu Sigi Donggala

#BerkaryaPEDULI
#PartaiBerkarya https://t.co/NAEP0iOktf",asridana1
